Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,2,オッジ@投資家ドクター,"去年、最も理想的だったトレードは準本命の日本電子材料❗️

上方修正後の最初の押し目を【日足ピボットロー】を見て買うことが出来ました。

半導体関連銘柄への追い風もありましたが、確実に割安という確信もありました😊

こういう成功体験を積み重ねて経験値を上げていきましょう😊✨ https://t.co/FtMeenRlj7",Sat Jan 01 22:40:29 +0000 2022,19,197
2022-01-01,3,Alex Desjardins 🛡️,"I developed I little trading journal that helps me keep track of my trades, trading statistics, progressive exposure, position sizing &amp; post analysis. 

Works better in excel with stock data avail.

I share it here if it can help new traders 👇
https://t.co/dVE9gh3bMq https://t.co/UNMLC0VD8B",Sat Jan 01 18:58:04 +0000 2022,87,490
2022-01-01,4,Ravi Prasad (RSP) 🇮🇳,"#NewYearPick 
ready for 55% Upside 

Live Discussion and analysis 
tomorrow 8PM ,#ChartPeCharcha 
#Youtube live 
https://t.co/P6uVNFz1gg 

Telegram: https://t.co/DtoeaHh6PI

mcaptosales below 1
ROE : 12.5%
debt free

#microcap #stockmarket #RSP https://t.co/gl3vMRnu82",Sat Jan 01 14:08:53 +0000 2022,31,232
2022-01-01,5,❌'s in my Future 🚢🏗️📃📦👑,#xdc with a one trillion dollar market cap puts it around $84,Sat Jan 01 05:35:14 +0000 2022,29,204
2022-01-01,6,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,7,cheshm_abi,"ریزش ۱۸ هزار واحدی شاخص #بورس در اولین روز سال ۲۰۲۲

دیروز در قم رئیسی از جهش‌ها و رشدهای اقتصادی و حمایت از بورس میگفت
هفته گذشته هم محسن رضایی وعده داده بود شاخص بورس به یک میلیون و ۷۰۰ هزار و بالاتر می‌رود https://t.co/0sqTtWhEFs",Sat Jan 01 09:26:34 +0000 2022,13,233
2022-01-01,8,霞が関@S&P500•高配当株•資産形成•NVDA•新NISA🇺🇸,"【運用リターンによる家計金融資産🌼】

米国は20年間で2.0倍に伸びているのに対し、日本は1.2倍にとどまっています☃️

日本人は保有資産のうち預金の割合が多く、預金金利はゼロに近いので、効率的な資産形成が米国・英国と比べできていない事がこの図から読み取れます☃️

#投資家さんと繋がりたい https://t.co/SBMVsMhG8J",Sat Jan 01 13:42:13 +0000 2022,81,564
2022-01-01,9,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,10,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
