Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,2,Tickeron,"A.I.dvisor made a bearish call on $CARV, netting in a 41.71% gain over 1 month #CarverBan #stockmarket #stock https://t.co/ka7r2YWP1U https://t.co/LlxyVb3txP",Sun Jan 02 23:54:02 +0000 2022,0,0
2022-01-02,3,FXCM Market Data,"#UK100 SSI is at -3.08

Risk Warning: Losses can exceed deposits.
Disclaimer: Past performance is not indicative of future results. https://t.co/8ZFUXxod0g",Sun Jan 02 23:58:05 +0000 2022,0,1
2022-01-02,4,Tickeron,$LTHM in Downtrend: Stochastic indicator peaks and leaves overbought zone. View odds for this and other indicators: https://t.co/Pb4bFAE329 #Livent #stockmarket #stock https://t.co/cva2hLJm5W,Sun Jan 02 23:56:10 +0000 2022,0,0
2022-01-02,5,Tickeron,"$FTHM in Downtrend: its price expected to drop as it breaks its higher Bollinger Band on December 30, 2021. View odds for this and other indicators: https://t.co/blHhDeXejw #FathomHoldings #stockmarket #stock https://t.co/0agEWAChfF",Sun Jan 02 23:57:37 +0000 2022,0,1
2022-01-02,6,In-Stock-Alerts-US,"🚀🚨[US] for 💵$1898.99 gigabyte rx6900xt Gaming OC🚨🚀

🛒ATC: https://t.co/L7R4QOS385

🔗Link: https://t.co/r0woV0DkXJ

 #rx6900xt ⏱️Jan 02, 6:53 PM ET
As an Amazon Associate I earn from qualifying purchases. Product prices and availability are subject to change. https://t.co/3a86Ahd0PB",Sun Jan 02 23:53:25 +0000 2022,0,0
2022-01-02,7,In-Stock-Alerts-US,"🚀🚨[US] for 💵$1049.99 pny 3070 Revel Epic-X🚨🚀

🛒ATC: https://t.co/lUXiKWNrwL

🔗Link: https://t.co/gMkEMfVvXe

 #3070 ⏱️Jan 02, 6:58 PM ET
As an Amazon Associate I earn from qualifying purchases. Product prices and availability are subject to change. https://t.co/2HC02fWQgM",Sun Jan 02 23:58:19 +0000 2022,0,0
2022-01-02,8,The MTG Art Market,"You have to bid to win! The sketches for Wheel of Fortune ends tonight at 11PM EST!

https://t.co/edxgmqFxIu https://t.co/eXg6khoIMo",Sun Jan 02 23:53:34 +0000 2022,0,2
2022-01-02,9,Krissy♥️🚫➕,My house could be your stock pot inn 😩 just come home sweetie 👀♥️🕒⚾️🛼 https://t.co/cttJBrMciU,Sun Jan 02 23:57:31 +0000 2022,0,2
2022-01-02,10,ChartMill,"The Ascending Triangle Pattern: Definition and Trading Strategies

An Ascending Triangle Chart Pattern is a bullish continuation pattern and is well supported by the ChartMill Stock Screener.

https://t.co/U8AQsdYrhL

#ChartMill #AscendingTriangle #StockScreener #ChartPatterns https://t.co/KMNiMt5LKN",Sun Jan 02 23:59:00 +0000 2022,0,0
2022-01-03,1,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,2,Stock Market News,Show your Strategy  WallStreetBets Wall Street Bets #StockMarket Men's Short Sleeve T-Shirt https://t.co/glDy0IqTVt - Buy on eBay #Stocks #Ad https://t.co/PLMw7rLCnR,Mon Jan 03 23:57:05 +0000 2022,1,0
2022-01-03,3,Harris Market Trends,"Stocks crossing their 20 Day 
CPE PAGS LCID SM CHX OXY PDCE HP MUR REGI FROG MTDR
Stocks crossing their 50 Day 
WOLF DISCA GKOS CCL LAZR DEN MLCO RCL HAL UBER",Mon Jan 03 23:55:57 +0000 2022,0,5
2022-01-03,4,In-Stock-Alerts-US,"🚀🚨[US] for 💵$599 powercolor rx6600xt undefined🚨🚀

🛒ATC: https://t.co/KIao6pC0o1

🔗Link: https://t.co/oK2KTCk4g5

 #rx6600xt ⏱️Jan 03, 6:56 PM ET
As an Amazon Associate I earn from qualifying purchases. Product prices and availability are subject to change. https://t.co/pCJelu3ymP",Mon Jan 03 23:56:28 +0000 2022,0,0
2022-01-03,5,WanderingATL 🐺,"This is a new year &amp; nothing would give me more joy than to see more POC in the stock market. If you are young take that leap, there’s plenty of melanated advisors out there…Clubhouse groups like “Premarket Movers” discord groups like Brooklyn Traders, look em up &amp; get on it 🙏🏾",Mon Jan 03 23:58:46 +0000 2022,0,2
2022-01-03,6,ChartMill,"Popular Screens: Swing Trading

A pullback may be a good opportunity for an entry in a strong stock. This swing trading screen finds them.

https://t.co/gyTfl7QH0q

#ChartMill #stocktrading #swingtrading https://t.co/2z2Qxp96Mh",Mon Jan 03 23:59:00 +0000 2022,0,0
2022-01-03,7,Harris Market Trends,"New Highs
VECO PW ISDR GRF TAC HRMY F ACET EVA APTS DVN ON ACLS AEL AAPL AOSL CUBI CUZ ONTO FWONA HUN 

Mid Cap Movers
STNE TSLA EBS CPE HLTH PAGS WOLF KLIC SWAV TWST LCID GTN NARI CHX WHD TSM NCLH CCL SIG AMBA LAZR GKOS FSR UTZ DNLI AMKR LAC WFC",Mon Jan 03 23:55:23 +0000 2022,0,6
2022-01-03,8,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,9,StockRadar,"Xbox Series S is now in stock. 
ATC: https://t.co/mx7xVAzOVG
Affiliate Link, we may earn some money on eligible purchases.",Mon Jan 03 23:57:11 +0000 2022,0,0
2022-01-03,10,StockRadar,"PowerColor Red Devil AMD Radeon™ RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory is now in stock. 
Product Page: https://t.co/8jgIiFUPQ2
ATC (Faster): https://t.co/3ZEkK5p9Ek
Affiliate Link, we may earn some money on eligible purchases.",Mon Jan 03 23:55:39 +0000 2022,0,0
2022-01-04,1,Tickeron,$CVNA in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/3UYZxOaebE #Carvana #stockmarket #stock https://t.co/EnEzWPUe7v,Tue Jan 04 23:56:52 +0000 2022,0,0
2022-01-04,2,Tickeron,"$MDRR's price moved below its 50-day Moving Average on January 3, 2022. View odds for this and other indicators: https://t.co/fNdoJxnvxC #MedalistDiversifiedREIT #stockmarket #stock https://t.co/ZzYT5Fj9Nj",Tue Jan 04 23:54:02 +0000 2022,0,0
2022-01-04,3,Tickeron,"$GILT in -1.94% Downtrend, falling for three consecutive days on December 31, 2021. View odds for this and other indicators: https://t.co/Rx63EzLwjn #GilatSatelliteNetworks #stockmarket #stock https://t.co/18OAqT0wFX",Tue Jan 04 23:55:28 +0000 2022,0,0
2022-01-04,4,G L,"What I am noticing is that until September any stock in the market would skyrocket. Making money or not. Most stock crashed between sept and dec. Now The entire market will crash! Sorry retail investor for losing your earnings! Ex. $PTON, $DASH, $SHOP, $MRNA, $ZM, etc.",Tue Jan 04 23:57:07 +0000 2022,0,1
2022-01-04,5,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,6,Inn At The Market,"Located in the famous @pike_place, our luxury hotel offers modern #PNW style and comfort. Book your room with us now! #VisitSeattle #InnAtTheMarket https://t.co/W1RjZnGQyU https://t.co/KVZkwPSRxP",Tue Jan 04 23:55:01 +0000 2022,0,4
2022-01-04,7,StockRadar,"PowerColor Red Devil AMD Radeon™ RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory is now in stock. 
Product Page: https://t.co/8jgIiFUPQ2
ATC (Faster): https://t.co/2Sqbkd1MVe
Affiliate Link, we may earn some money on eligible purchases.",Tue Jan 04 23:54:50 +0000 2022,0,0
2022-01-04,8,Cam Tucker,"It’s always “I’m tryna flip my money in the stock market” and never “how many hours can I spend studying the charts?” 🙃

Unlearn that.

How hard can I go? &gt;&gt;&gt; How long will it take?",Tue Jan 04 23:55:02 +0000 2022,0,2
2022-01-04,9,Chameleon 🦎,$REAL #Realreal gains in after hours trading. See vwap price action. https://t.co/GySKX1AtMu https://t.co/i0vMCGjngO,Tue Jan 04 23:53:15 +0000 2022,0,0
2022-01-04,10,DekmarTrades via TradeCaster,"Take a guess on what’s my favorite play?

Can you blame me? This stock moves enough to make over $50,000 a day! https://t.co/ApydBzZz05",Tue Jan 04 23:56:11 +0000 2022,3,22
2022-01-05,1,Stock Gains,More gains from our members! They’ve been printinggg! Wait until you see these alerts from today🤣 #stocks #options #trading $spy $roku $dow #crpto #stocks #options $aapl $msft $docu $gs $jpm $pypl $qqq $tgt $amzn $goog $nvda $gme $amd $shop $nflx $fdx #Ethereum #Bitcoin https://t.co/2YYZJ0QzVp,Wed Jan 05 23:57:01 +0000 2022,0,2
2022-01-05,2,Tickeron,$OKE in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/BZgHHUy8cG #Oneok #stockmarket #stock https://t.co/YotLmGmpJD,Wed Jan 05 23:57:12 +0000 2022,0,0
2022-01-05,3,Tickeron,$PGEN in Downtrend: Stochastic indicator recovers from overbought zone. View odds for this and other indicators: https://t.co/1w7a86PrFq #Precigen #stockmarket #stock https://t.co/MmBNH1sKfJ,Wed Jan 05 23:57:55 +0000 2022,0,0
2022-01-05,4,TheGrimm,"This is me today 😂 just watching the market pull hard  😂😂😂 $SPY, $TSLA, and $BABA https://t.co/JlpYup2Dym",Wed Jan 05 23:55:28 +0000 2022,1,3
2022-01-05,5,John Morgan,"Bitcoin, Ethereum and Stock Prices Fall as Fed Readies Interest Rate Hike

https://t.co/EDv5gpkoDt",Wed Jan 05 23:54:36 +0000 2022,0,0
2022-01-05,6,TheGhost,"$MINA literally telling FUCK YOU to all the rest 😂

It's the same concept 

-&gt; the more forgotten and underfollowed 
    &gt; the less of a correlation with the entire market 

It's literally been going nowhere since August,  the holders simply will not sell https://t.co/8wsSK3l1Ub",Wed Jan 05 23:56:02 +0000 2022,1,1
2022-01-05,7,Equilyst Analytics,"#StockScreener: January 6, 2022
# of Index Stocks: 1
# of Non-Index Stocks: 21

Log in to your account at https://t.co/4TgFHzLkt7 for the specific details.

Subscribe to our stock market consultancy service: https://t.co/k0Eh8Reb2n

#Equilyst #StockMarket #PhilippineStockMarket https://t.co/wSZvGapYvB",Wed Jan 05 23:59:22 +0000 2022,0,0
2022-01-05,8,Lily Ray 😏,"Here's how the SERP has changed for the KW ""school girl"" in the past 4 years:

In 2018, most of the results were costume stores selling ""sexy schoolgirl"" outfits.

In 2022, none of the results are for sexy costumes, but rather, stock photography (very PC), shopping for girls, etc https://t.co/dxcgx5j18e",Wed Jan 05 23:55:15 +0000 2022,5,33
2022-01-05,9,CryptoDr.,$ACH holders have been hardened down to straight up diamond hands after 5 months. We didn’t even budge when the whole market dropped. https://t.co/PkQWmPfLbU,Wed Jan 05 23:49:58 +0000 2022,0,11
2022-01-05,10,StockRadar,"Xbox Series S is now in stock. 
ATC: https://t.co/avdXGhR7DU
Affiliate Link, we may earn some money on eligible purchases.",Wed Jan 05 23:59:02 +0000 2022,0,0
2022-01-06,1,WeedStreet420,Meme stock season is back? https://t.co/iXI3FVnmiE,Thu Jan 06 23:51:28 +0000 2022,0,22
2022-01-06,2,Toptrdr (respect the power of the market ),no one listens when trend is going their way they make up stories of happy ending .until SHAZAM https://t.co/rw7LJ1UGlX,Thu Jan 06 23:56:04 +0000 2022,0,2
2022-01-06,3,Sir Contraire,"ASX - range bound +/- 3.5% for over half a year. It's a nothing market. No wonder get rich quicks have been flogging shitcoins and penny stocks hard of late.

#toughoutthere https://t.co/xdLetXpD9l",Thu Jan 06 23:52:42 +0000 2022,1,3
2022-01-06,4,Tackle Trading,"⚔️ Cashflow #Vikings, come join us! Our weekly #Trading Lab will start at 7 PM EST.

If you are not a #Cashflow Viking and want to start generating #passiveincome in nearly any market condition click below to sign up for a FREE trial.

https://t.co/QgqlskCSXb

Skål! https://t.co/uCyxWpCwHy",Thu Jan 06 23:55:56 +0000 2022,0,0
2022-01-06,5,CryptoDailyTA,"As promised a #Bitcoin thread and my vision based on the market sentiment and where we could go if the charts are respected.
Grab yourself some coke and popcorn and let's begin.
#ETH #Crypto #DEFI #NFT #ADA #DOGE #EGLD #SHIB #SOLANA
#binance #BNB #AXS #AVAX #metaverse #Coinbase https://t.co/wplFg6NK6D",Thu Jan 06 23:52:56 +0000 2022,2,3
2022-01-06,6,Omar Khan,new year’s resolution: mirror all stock market moves made by that corrupt fossil @SpeakerPelosi,Thu Jan 06 23:54:00 +0000 2022,0,1
