Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,2,平　均,"FRBが保有資産を縮小するQT（量的引き締め）を早期に実施するなど、各中央銀行の引き締めが強まると、株式市場の変動率が高まる。

実際、FRBが利上げとQTを同時に進めた2018年は米国株が乱高下の展開となった経緯がある。 https://t.co/I7g6xvzca1",Sun Jan 02 14:56:15 +0000 2022,33,249
2022-01-02,3,ScorpioManoj,"#FreeTools
My @ChartinkConnect dashboards 
1) Market Breadth 
https://t.co/OUuljsofwD
2) Market Breadth and Intraday pivot based stocks trend
https://t.co/8pUxByterR
3) Intraday camarilla breakouts
https://t.co/WVUV4dSDlB
4) Stocks Relative performance
https://t.co/U6g6gLdREA",Sun Jan 02 08:09:20 +0000 2022,92,274
2022-01-02,4,ibrahimakkaya,"Endeks  son  durum.//

Tillson 1900 üzeri kapanışlarda yukarı yönlü trend hızlanır ve 2196 ya kadar uzanır.!!

Haftalık 1832 destek seviyesi ve kırılmadı .!!

1832 seviyeleri 2500 den gelen trendin dip seviyesi.Bu seviye  kırılmadan sıkıntı yok.!!

#borsa #usdtry https://t.co/PXPRdfcwoK",Sun Jan 02 18:38:22 +0000 2022,33,338
2022-01-02,5,Madan,"Intraday options buying Acct performance - 2021

Starting Cap - ₹41.8 L
Net gains - ₹85.5 L
Ending Cap - ₹1.27 Cr
ROI: 205%

Uploaded live backoffice of last 2 qtrs 😊

https://t.co/wEqLylToDG

Happy new year all 🤠 https://t.co/RCk1TYjuee",Sun Jan 02 07:32:11 +0000 2022,18,465
2022-01-02,6,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,7,みみる@米国株投資🇺🇸CFP®︎認定者,"こんみみるん🌸
明日から米国株はスタートですよ🎵

高値ブレイク失敗のNASDAQ100
16600が分厚い壁となってしまうのか
15700と狭いレンジを作るか

上昇トレンドのなかの小休止で再度上を目指すか
新年相場に注目したいですね✨

#米国株 #レバナス https://t.co/7ehu91RQJa",Sun Jan 02 09:00:01 +0000 2022,6,211
2022-01-02,8,たけぞう,"https://t.co/vuaKtcdS7O
相場サイクルの見分け方&lt;新装版&gt;　―銘柄選択と売買のタイミング

「金融相場」「業績相場」「逆金融相場」「逆業績相場」――

証券会社に入社した時に読んだ本！
今でも見直す事もある https://t.co/TTWec21zLx",Sun Jan 02 22:04:45 +0000 2022,122,920
2022-01-02,9,رضا العيدروس/مستشار مالي,"متطورة 151%
الأبحاث 150%
سبكيم 142٪
سابك للمغذيات 119%
إم آي إس 96%
معادن 94%
العبد اللطيف 93%
مصرف الراجحي 92%
التطويرية الغذائية 80%
البلاد 63%

هذة نسبة النمو في اسعار بعض الاسهم خلال سنة فقط

وللاسف لا زال الكثير يردد: ما شفت أحد اعرفه وكسب بالسوق🧐 او الاسهم ما فيها بركة",Sun Jan 02 04:20:41 +0000 2022,44,304
2022-01-02,10,Charles Edwards,"History suggests the beginning of rate rise regimes actually result in stock market strength for 6 months.

10 of the 13 regimes (77%) since the 1950s had positive stock market returns over the first six months, averaging +5.1%.

We are approaching the start of a new regime now. https://t.co/Yp0UMsCJze",Sun Jan 02 16:03:45 +0000 2022,266,1246
Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-03,1,CA Vipul Makwana,"Thread on Natural Capsules Ltd 🧵

#Basics
1. CMP 335.65 (as on 03-01-2022)
    Listed only on BSE (Code :- 524654)
    Micro Cap Company (Mkt Cap 314 crores)
(1/14) https://t.co/oGzU4TgxzR",Mon Jan 03 13:27:49 +0000 2022,76,377
2022-01-03,2,JE$US,"Top 25 stocks driving S&amp;P 500 index in 2021, via GS👇🏻 https://t.co/fQBpgPfSH1",Mon Jan 03 02:15:35 +0000 2022,88,337
2022-01-03,3,Earn Your Leisure,Market Mondays is back tonight at 8 pm est! https://t.co/GSbMLlINl7,Mon Jan 03 15:13:45 +0000 2022,61,343
2022-01-03,4,Shreenidhi P,"Krishna institute of medical sciences
#KIMS

Goldman Sachs makes an entry
Goldman Sachs bought 73,009 shares of KIMS today at 1425.65rs/share

Sept 21 SHP has all reputed funds(both FIIs n DIIs holding good stake)

General Atlantic holds 17.24% stake as of September 21 https://t.co/pnuFLh3x1i",Mon Jan 03 14:58:56 +0000 2022,33,361
2022-01-03,5,Market Makers,"#Twitterfonden återuppstår!

Av 331 röster, 178 unika bolag så fick nedanstående 10 bolag flest antal röster och tog därmed plats i portföljen. 

📈 Stark start på året för Twitterfondens bolag som gemensamt är upp 1.2%. Starkast gick $ZIGN och $YIELD som både är upp 4.02% idag. https://t.co/vrazuFtclg",Mon Jan 03 17:11:08 +0000 2022,7,268
2022-01-03,6,アセマネ部長,"【三井住友銀行の業界分析】
三井住友と日本総研が半期に一度まとめている世界経済と主要産業動向に関するレポート。日頃からこうした資料に目を通しておけば金融機関の面接も大丈夫。産業見通しは業種別にコンパクトにまとまっているので金融志望以外の方にも参考になる。
https://t.co/Th9ApknQ12 https://t.co/0C6LFijZzS",Mon Jan 03 23:30:35 +0000 2022,22,313
2022-01-03,7,Breakout Charts ®️,"Stocks to Watch Out

1. Cerebra
2. Kopran
3. Fortis
4. Balaji Amines https://t.co/G2CLa8pEEZ",Mon Jan 03 16:35:01 +0000 2022,39,334
2022-01-03,8,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,9,トミィ@NISA芸人　米国株,おはようございます🙇‍♂️今年はじめての米国株サマリーとヒートマップです。sp500が新高値更新、TSLAが市場を押し上げ13%もプラスに。中型グロースは弱く、SaaSは厳しい結果に。ハイグロは銘柄で明暗を分ける結果。ワクチンも大きく下落。今年も指数買っとけでしょうか？今日も頑張りましょう♪ https://t.co/Xaw3mnStE7,Mon Jan 03 21:40:09 +0000 2022,10,227
2022-01-03,10,Sonu Varghese,"Of the S&amp;P 500's 26.9% price return in 2021,

Earnings growth: 34.5%
Multiple growth: -7.6%

Via JPM Guide to Markets https://t.co/eHR9uRjEtr",Mon Jan 03 20:31:57 +0000 2022,43,284
Date,Tweet Count,Username,Text,Created At,Retweets,Likes
