Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,Jegathesan Durairaj (Jegan),"PNL Summary Apr-Dec 2021
Capital: 2.1Cr

Yearly Trading Profit : 98.55L -&gt; ROI ( 46.93% )
Debt fund Return    : 7.87L
Total Yearly Profit    : 1.06Cr -&gt; ROI ( 50.67% )

Monthly Profit : 37.48L  -&gt; ROI(Dec:13.83% )
Max DD: 5%

For a detailed check out here: https://t.co/OFr8trI8k7 https://t.co/mg7bavvstE",Sat Jan 01 09:43:23 +0000 2022,7,229
2022-01-01,2,霞が関@S&P500•高配当株•資産形成•NVDA•新NISA🇺🇸,"【運用リターンによる家計金融資産🌼】

米国は20年間で2.0倍に伸びているのに対し、日本は1.2倍にとどまっています☃️

日本人は保有資産のうち預金の割合が多く、預金金利はゼロに近いので、効率的な資産形成が米国・英国と比べできていない事がこの図から読み取れます☃️

#投資家さんと繋がりたい https://t.co/SBMVsMhG8J",Sat Jan 01 13:42:13 +0000 2022,81,564
2022-01-01,3,Stock Market Scientist™,"Themes To Focus in 2022

1. Infrastructure 
2. Capital Goods
3. Media
4. Auto Ancillary
5. Textile
6. Ethanol 
8. Gems &amp; Jewellery 
9. IT(Stock Specific)
10. Reality(Stock Specific)

Note- Plz consult with your financial advisor before investing/trading 🙏 https://t.co/IaDq2F3x6K",Sat Jan 01 16:14:54 +0000 2022,40,231
2022-01-01,4,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,5,オッジ@投資家ドクター,"去年、最も理想的だったトレードは準本命の日本電子材料❗️

上方修正後の最初の押し目を【日足ピボットロー】を見て買うことが出来ました。

半導体関連銘柄への追い風もありましたが、確実に割安という確信もありました😊

こういう成功体験を積み重ねて経験値を上げていきましょう😊✨ https://t.co/FtMeenRlj7",Sat Jan 01 22:40:29 +0000 2022,19,197
2022-01-01,6,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp6 

Ep 6 — 1.912% 

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/KHsvDmb5Xf",Sat Jan 01 23:43:07 +0000 2022,286,1515
2022-01-01,7,NBS Television,"Uganda Investment Authority is in the final stages of establishing an industrial park at the Bunagana border with the Democratic Republic of Congo.

#NBSLiveAt9 #NBSUpdates https://t.co/nOpkC7eQqC",Sat Jan 01 18:57:17 +0000 2022,37,213
2022-01-01,8,may,"NIELSEN KOREA RATING IS OUT
Episode 16 : 17% Nationwide, 16.4% Metropolitan Area,  with peak 19.4%
Episode 17 : 17.4% Nationwide, 16.8% Metrppolitan Area Peak 18.1%
YALL WE’RW GOING URIJIBBBBBVBBV

#TheRedSleeve https://t.co/NXTDBh6lmt",Sat Jan 01 22:52:49 +0000 2022,55,189
2022-01-01,9,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,10,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-02,1,🇮🇳 Rinku Tank,"#PONNIERODE

support zone:198/183
My expectations:267/381
view invalid level: mentioned on chart

Being a micro-cap stock, your investment will involve high risk. Build your positions wisely.

Don't build excessive positions out of greed. Follow proper position sizing rules. https://t.co/I9Lehmm121",Sun Jan 02 04:30:47 +0000 2022,37,254
2022-01-02,2,北乃あいす＠兼業投資家,"2021年のSaaS企業株価成長をまとめてみました

手間いらずまでが年初来プラスで、それ以下は全てマイナスという結果

グレイステクノロジーとAIinsideは9割減の逆テンバガー https://t.co/WPfebv3jdZ",Sun Jan 02 13:01:29 +0000 2022,66,315
2022-01-02,3,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
