Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-04,1,T.A OFFICIAL (Piyasanın Vakkosu),"🔸️TLM/USDT
🔸️RSI trend kırlımı ve retest mevcut
🔸️tekrar trendin içine girip kendini 0.24 üzeri atarsa, hızlı bir şekilde 0.41 gider
🔸️wavetrend ""al"" sinyali yakmak üzere
#Bitcoin #Ethereum #Crypto #TLM #blockchain #Binance https://t.co/OrwUSyOx53",Tue Jan 04 22:22:18 +0000 2022,4,126
2022-01-04,2,Ekonomikoçu,"#XAGUSD GÜNLÜK 

Grafik nettir.. 23.45 üzeri kapanış gelirse kendisini kurtarır.. Gitmek istese de ABD faizleri kafa kaldırınca gardı düşüyor.. Bu sebeple genelde teknik hareketler ile geçiyor günler.. Bu bölgeyi izlemeye devam.. https://t.co/6TKvkLfq0K",Tue Jan 04 19:36:08 +0000 2022,44,443
2022-01-04,3,T.A OFFICIAL (Piyasanın Vakkosu),"🔸️DOT/USDT
🔸️GÜNLÜK
🔸️23.30 güçlü desteğimiz, ve burdan desteğini milimetrik şekilde aldı
🔸️yukardan gelen 2 adet düşen trendimiz var. Ilk düşen trend kırıldı, üzerinde kalıcılık sağlamamız önemli, bu bizi 35-40 seviyelerine götürür
🔸️bir retest bekliyorum https://t.co/0nSekPEMvi",Tue Jan 04 17:43:22 +0000 2022,6,146
2022-01-04,4,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,5,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,6,三好 翔 🐧 One Capital,"21年のSaaS企業 パフォーマンス（年初来）

プラスで終えたのは以下の5社のみで、大半の企業がマイナスとなりました🤣

1.Sansan：43.8％
2.Wantedly：41.8％
3.マネフォ：37％
4.ラクス：30.5％
5.手間いらず：0.6％

22年はどうなることやら・・・ https://t.co/wCFH0AL4jq",Tue Jan 04 06:28:17 +0000 2022,30,198
2022-01-04,7,河端保志/ツーストーンアンドサンズ(7352),"売上の振り返りとして
受託期
1期　2200万
2期　6200万

自社サービス期
3期　3.8億
4期　9.7億

上場準備
5期　24億
6期　28億
7期　31億

上場一年目
8期　42億
今期　59億(予定)
準備期間の低迷中はお恥ずかしい成長でしたが、今は最高な組織変革を起こせたし、今年はさらに最高の一年にします！ https://t.co/7ScHDCAXD7",Tue Jan 04 13:15:40 +0000 2022,15,310
2022-01-04,8,レイチェル,おはようございます。主要3指数はまちまちの展開。ダウは2日連続での最高値更新。一方ナスダックは長期金利上昇を受け下落する展開。S&amp;P500もわずかに反落。 https://t.co/OHO8aqrwCM,Tue Jan 04 21:45:57 +0000 2022,40,486
2022-01-04,9,豆山くん,"「政府は再生可能エネルギー普及のために次世代送電網を整備する」と日経新聞が報道。
総額2兆円超の投資計画を想定しているという。
これを受け、送電網関連株に買いが集まった。

ETS HD（1789）
那須電機鉄工（5922）
昭和電線HD（5805）
東光高岳（6617）
住友電気工業（5802）
関電工（1942） https://t.co/inYjhCWx2I",Tue Jan 04 14:06:53 +0000 2022,43,348
2022-01-04,10,Estratégia Gráfica Fundament. | cotacaosegueolucro,#BBAS3 O LL anualizado de 2021 evoluiu 44% em relação a 2020. Nos últimos 12 meses a cotação retrocedeu 21%. https://t.co/XlaOgu0HK7,Tue Jan 04 23:10:17 +0000 2022,14,220
