Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-03,1,CA Vipul Makwana,"Thread on Natural Capsules Ltd 🧵

#Basics
1. CMP 335.65 (as on 03-01-2022)
    Listed only on BSE (Code :- 524654)
    Micro Cap Company (Mkt Cap 314 crores)
(1/14) https://t.co/oGzU4TgxzR",Mon Jan 03 13:27:49 +0000 2022,76,377
2022-01-03,2,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,3,Sonu Varghese,"Of the S&amp;P 500's 26.9% price return in 2021,

Earnings growth: 34.5%
Multiple growth: -7.6%

Via JPM Guide to Markets https://t.co/eHR9uRjEtr",Mon Jan 03 20:31:57 +0000 2022,43,284
2022-01-03,4,Abdullah AL-Khmais,"السوق السعودي أغلق عام 2021 على ارتفاع بـ30%

ماذا يعني ذلك؟
لو استثمرت رأس مالك و وزعته على كامل شركات السوق, حسب وزن كل شركة في المؤشر, سوف تحقق عائد بـ 30%.

هناك صناديق تسمى صناديق المؤشرات المتداولة ETFs متخصصة في ذلك, تشتري في كامل السوق بالتساوي.. ينصح بها وارين بافيت بشدة https://t.co/rIuWCbHy17",Mon Jan 03 18:24:29 +0000 2022,46,506
2022-01-03,5,Emekli Borsacı,"#bist100 çift kulplu fincan formasyonu :)

Formasyon 1906 üstünde kaldığı sürece çalışması beklenir altında kapanışlarda bozulur(tuzak kabul edilir)

Kulp ve fincan hedefleri sırasıyla 2033- 2177 seviyeleridir.

1906 üzerinde kaldığı sürece kısa vade problem yok.

#borsa #bist https://t.co/aSEhp3fLeW",Mon Jan 03 10:11:54 +0000 2022,8,259
2022-01-03,6,Breakout Charts ®️,"Stocks to Watch Out

1. Cerebra
2. Kopran
3. Fortis
4. Balaji Amines https://t.co/G2CLa8pEEZ",Mon Jan 03 16:35:01 +0000 2022,39,334
2022-01-03,7,Yash Mehta,"#TTML was a #stock which was bought by Dad in 2008 at 38. After that stock lost 95% value in 13 years.
In 2020, hardly any value was left and Dad decided to hold it just like other crap stocks.
Now it is trading at 216.
470% Returns or 13% CAGR.

Will call it pure #luck. https://t.co/fnRDcKoTxS",Mon Jan 03 14:26:27 +0000 2022,17,418
2022-01-03,8,Shreenidhi P,"Krishna institute of medical sciences
#KIMS

Goldman Sachs makes an entry
Goldman Sachs bought 73,009 shares of KIMS today at 1425.65rs/share

Sept 21 SHP has all reputed funds(both FIIs n DIIs holding good stake)

General Atlantic holds 17.24% stake as of September 21 https://t.co/pnuFLh3x1i",Mon Jan 03 14:58:56 +0000 2022,33,361
2022-01-03,9,豆山くん,"ワイエイシイHD（6298）が急騰。

・パワー半導体関連、液晶関連装置が主力。
・業績は絶好調で2022年3月期営業利益は前期比2.2倍を見込む。
・子会社のワイエイシイビームが製造するパワー半導体素子用レーザアニーラに高い注目。
・同社は世界初となるSiC裏面電極オーミック化専用装置も製造。 https://t.co/1uhEpctazt",Mon Jan 03 12:54:21 +0000 2022,16,195
2022-01-03,10,SpotGamma,"$TSLA
existing options positions indicate a gamma squeeze if stock is &gt;1115
If it can push towards 1175 it seems that the gamma tied to 1200c could unlock another leg up

obviously looking for high call volume today which feeds into this start of day position https://t.co/n9LDWDoPFu",Mon Jan 03 14:43:21 +0000 2022,50,275
