Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,2,株⭐️ソムリエ,"今朝の日経新聞の経営者が選ぶ2022年の注目銘柄。赤線は個人的に注目してる銘柄⭐️
レノバが11位に入っててびっくりした😳 https://t.co/HK36R4A1ah",Sat Jan 01 03:12:17 +0000 2022,25,385
2022-01-01,3,Kou@ベーシストFX手法研究家,"常にこの視点で相場を見るとリスクのある場所でトレードしなくなる
①過去レンジになった所は押し安値や戻り高値の判断が付きにくくダウがカウントしにくい
②各時間足の目線が混在している時も時間足によって買いと売りの狙いが異なる。
↓
これから方向感が無くなるのが事前に分かれば戦い方が見える https://t.co/nBgj1TPr4M",Sat Jan 01 00:00:03 +0000 2022,11,199
2022-01-01,4,伊藤 忍@マネー雑誌で副業中,みんながつみたてNISAやiDeCoで買っていそうな投資信託（eMAXIS Slim、楽天バンガード）+格安コストで人気のSBI・V、年内ラストウィークのまとめです！　今週一番上がったのは、SBI・Vの高配当株式（＋1.97％）でした！　また、eMAXIS Slim 先進国株式の基準価額が設定来初の2万台乗せ！ https://t.co/X3Ibs8NgY2,Sat Jan 01 08:10:03 +0000 2022,22,240
2022-01-01,5,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-01,6,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,7,JISOO CHARTS,"""설강화"" (Snowdrop) is currently trending #6 on NATE Real-time issue keywords. #SnowdropEp6
📎https://t.co/zoQqqvQXcB

#블랙핑크지수 #지수 #JISOO #설강화 https://t.co/bTFNwFWQBX",Sat Jan 01 14:45:13 +0000 2022,346,1272
2022-01-01,8,Deals & Price Mistakes,"iPhone XR Unlocked WITH Warranty for $309!

https://t.co/3MEsyWYtG0

-all 6 colors in stock!!!! https://t.co/t5b3yfre55",Sat Jan 01 23:54:06 +0000 2022,0,0
2022-01-01,9,Mike Cullen,"How come Chemists can't keep up with the supply of RATs yet, Harvey bloody Norman has managed to secure stock for sale for almost $50 for a 5 pack?",Sat Jan 01 06:44:07 +0000 2022,633,2968
2022-01-01,10,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
2022-01-02,1,ScorpioManoj,"#FreeTools
My @ChartinkConnect dashboards 
1) Market Breadth 
https://t.co/OUuljsofwD
2) Market Breadth and Intraday pivot based stocks trend
https://t.co/8pUxByterR
3) Intraday camarilla breakouts
https://t.co/WVUV4dSDlB
4) Stocks Relative performance
https://t.co/U6g6gLdREA",Sun Jan 02 08:09:20 +0000 2022,92,274
2022-01-02,2,北乃あいす＠兼業投資家,"2021年のSaaS企業株価成長をまとめてみました

手間いらずまでが年初来プラスで、それ以下は全てマイナスという結果

グレイステクノロジーとAIinsideは9割減の逆テンバガー https://t.co/WPfebv3jdZ",Sun Jan 02 13:01:29 +0000 2022,66,315
2022-01-02,3,Coin Hunter,"KCCPAD üzerinden aldığım #NFTLAUNCH 

ilk taksiti 1200$ ederken.
dördüncü taksiti 13.800$ ediyordu.

Kesikli çizgilerle aldığımız taksit günlerini, doğrusal çizgiyle henüz almadığım yarınki taksiti gösterdim.

Launchpad projeleri yatırım aldıkça, iyi proje getirdikçe yükselir.⤵️ https://t.co/T6sFNmFQLE",Sun Jan 02 17:13:16 +0000 2022,212,526
2022-01-02,4,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,5,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,6,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,7,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,8,平　均,"FRBが保有資産を縮小するQT（量的引き締め）を早期に実施するなど、各中央銀行の引き締めが強まると、株式市場の変動率が高まる。

実際、FRBが利上げとQTを同時に進めた2018年は米国株が乱高下の展開となった経緯がある。 https://t.co/I7g6xvzca1",Sun Jan 02 14:56:15 +0000 2022,33,249
2022-01-02,9,Technocrat 🥷 ,#Tesla PT $1050 will be considered as a good entry point for the year 2022! New product road-map and imminent stock split! It’s up to you to decide whether you want the gains or not!  $TSLA https://t.co/6yEGQwoUr0,Sun Jan 02 23:58:03 +0000 2022,0,2
2022-01-02,10,Krissy♥️🚫➕,My house could be your stock pot inn 😩 just come home sweetie 👀♥️🕒⚾️🛼 https://t.co/cttJBrMciU,Sun Jan 02 23:57:31 +0000 2022,0,2
2022-01-03,1,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,2,Shreenidhi P,"Krishna institute of medical sciences
#KIMS

Goldman Sachs makes an entry
Goldman Sachs bought 73,009 shares of KIMS today at 1425.65rs/share

Sept 21 SHP has all reputed funds(both FIIs n DIIs holding good stake)

General Atlantic holds 17.24% stake as of September 21 https://t.co/pnuFLh3x1i",Mon Jan 03 14:58:56 +0000 2022,33,361
2022-01-03,3,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,4,KRİPTO POYRAZ,#hodl oranı son 1 senenin en düşük seviyesi. Bu oran ne kadar yüksek ise market o kadar ısınmış realize edilmemiş kar orani o kadar yüksek demektir yani ath bölgesidir. Şuan fiyatın alım bölgesinde olduğu söylenebilir.#bitcoin #btc https://t.co/lA7vTd3uYG,Mon Jan 03 13:04:13 +0000 2022,15,243
2022-01-03,5,Abdullah AL-Khmais,"من أبرز أسهم السوق حالياً, سهم الراجحي, الأخبار حوله مثيرة:

- ارتفع بنسبة 92% عام 2021
- أصدر صكوك مقومه بالريال لأول مرة
- أعضاء مجلس الإدارة يزيدون كمية حصصهم
- أخبار عن توزيع أسهم منحة
- أخبار عن زيادة رأس المال استجابة لقانون بازل 3
- المصرف غير هويته التي عرف بها لسنوات https://t.co/4XXfuHUox3",Mon Jan 03 17:14:09 +0000 2022,32,189
2022-01-03,6,Selim KMD,"#TKNSA Teknosa Öyle bir yerde kapanış yaptı ki...
6.57 ile Araf'ta..

6.60 üzerinde kapanış görelim.⏰
Güvenli bölge 7.00 ve üzeri. https://t.co/2vnDeybH4A",Mon Jan 03 17:58:16 +0000 2022,26,360
2022-01-03,7,Advait Arora,"40 #stocks by top 5 brokerage houses for 2022.
If I had to choose the top 10 from these, it would be :

1. HDFC Bank
2. Stove Kraft
3. HG Infra
4. Aster DM
5. Zee Ent
6. HCG 
7. Divi's labs
8. Tata Motors
9. TCS
10. ICICI Bank

Which ones would you like to change from this 10 ? https://t.co/YGcRBmTMhO",Mon Jan 03 05:06:29 +0000 2022,58,188
