Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-04,1,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,2,Ekonomikoçu,"#SP500 GÜNLÜK 

Buraya söylenecek çok fazla söz kalmadı.. Grafik nettir. 
Kesik çizginin üzerinde oluşan mumlar yan yanadır.. 
Bugün #Nasdaq düşüyor, #DOW yukarı alıyorlar, burası da stabil.. Devamlı gün geçiriyorlar.. Yaşasın BİDEN hükümeti.. Ah ulan Trump bizi bunlara bıraktın. https://t.co/9EnfCg1AN5",Tue Jan 04 20:15:31 +0000 2022,12,400
2022-01-04,3,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,4,Estratégia Gráfica Fundament. | cotacaosegueolucro,#BBAS3 O LL anualizado de 2021 evoluiu 44% em relação a 2020. Nos últimos 12 meses a cotação retrocedeu 21%. https://t.co/XlaOgu0HK7,Tue Jan 04 23:10:17 +0000 2022,14,220
2022-01-04,5,三好 翔 🐧 One Capital,"21年のSaaS企業 パフォーマンス（年初来）

プラスで終えたのは以下の5社のみで、大半の企業がマイナスとなりました🤣

1.Sansan：43.8％
2.Wantedly：41.8％
3.マネフォ：37％
4.ラクス：30.5％
5.手間いらず：0.6％

22年はどうなることやら・・・ https://t.co/wCFH0AL4jq",Tue Jan 04 06:28:17 +0000 2022,30,198
2022-01-04,6,豆山くん,"「政府は再生可能エネルギー普及のために次世代送電網を整備する」と日経新聞が報道。
総額2兆円超の投資計画を想定しているという。
これを受け、送電網関連株に買いが集まった。

ETS HD（1789）
那須電機鉄工（5922）
昭和電線HD（5805）
東光高岳（6617）
住友電気工業（5802）
関電工（1942） https://t.co/inYjhCWx2I",Tue Jan 04 14:06:53 +0000 2022,43,348
2022-01-04,7,レイチェル,おはようございます。主要3指数はまちまちの展開。ダウは2日連続での最高値更新。一方ナスダックは長期金利上昇を受け下落する展開。S&amp;P500もわずかに反落。 https://t.co/OHO8aqrwCM,Tue Jan 04 21:45:57 +0000 2022,40,486
2022-01-04,8,もみあげ🇺🇸 米国株投資,"米国株最終
ダウ+0.59% ナス-1.33% SP-0.06% ラッセル-0.16% もみ+0.6%
・原油+1.1%（40万/日増産キープ）
・金利2年-3bps 10年+2.4bps
・SM58.7（12月61.1)
→インフレ懸念テック売り
⇔金融・エネ・資本・素材など強めに
$F +11.6%
・グロース→バリューリバランス（出来高参照）
・明日はFOMC議事録 https://t.co/NQijFPFP0s",Tue Jan 04 21:10:35 +0000 2022,33,280
2022-01-04,9,mignolet,"(심리의 시각화)
시장의 하락을 주도했던 바이낸스 매도 압박이 줄어들고 있는건, 명백한 사실입니다.

이러한 상황에서,

처음에는 괜찮지만, 시간이 가면 갈수록, 결과가 나타나지 않고, 투자자는 의심을 하게되고, 부정적인 생각이 드는게 당연합니다.

@tradinglite https://t.co/c68HdXPckv",Tue Jan 04 11:18:50 +0000 2022,28,239
2022-01-04,10,ばっちゃま,"【ばっちゃまの米国株YouTube🇺🇸👵🏻】
 (1/4) 悪い兆候です。
今日のビデオ内容なんですけども
- 今日のマーケット確認しましょう: $AAPL $TSLA $HA $CCL $XOM $DAL などに注目
- アメリカ10年債利回りが上昇
- YouTube Live のまとめ: $CRWD は要注意！
https://t.co/MCnx4FSaOk https://t.co/TXhGMRXaRH",Tue Jan 04 07:15:00 +0000 2022,18,236
2022-01-02,1,北乃あいす＠兼業投資家,"2021年のSaaS企業株価成長をまとめてみました

手間いらずまでが年初来プラスで、それ以下は全てマイナスという結果

グレイステクノロジーとAIinsideは9割減の逆テンバガー https://t.co/WPfebv3jdZ",Sun Jan 02 13:01:29 +0000 2022,66,315
2022-01-02,2,PWS,"$NIO - Deliveries 

2020 - 43,728
2021 - 91,429

Growth - 109% https://t.co/ZBB3VUgEIW",Sun Jan 02 12:49:25 +0000 2022,20,221
2022-01-02,3,🇮🇳 Rinku Tank,"#PONNIERODE

support zone:198/183
My expectations:267/381
view invalid level: mentioned on chart

Being a micro-cap stock, your investment will involve high risk. Build your positions wisely.

Don't build excessive positions out of greed. Follow proper position sizing rules. https://t.co/I9Lehmm121",Sun Jan 02 04:30:47 +0000 2022,37,254
2022-01-02,4,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,5,I ADORE JISOO,"Snowdrop's supertopic first time enter TOP 10 Weibo TV series supertopic chart after the release of Snowdrop ep 6

FYI: Topic ""Korean Drama Snowdrop"" is still on #43 Weibo Hotsearch (General) after a night

블랙핑크지수
#JISOO #지수 #블랙핑크지수 #김지수 #블랙핑크 #SNOWDROP https://t.co/DXwaPKt2oV",Sun Jan 02 05:58:45 +0000 2022,75,230
2022-01-02,6,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,7,たけぞう,"S&amp;P500  

2021年  最高値更新  70回

1995年の77回に次いで 2番目に
多かった https://t.co/tMn1NmHUWq",Sun Jan 02 20:55:13 +0000 2022,20,208
2022-01-02,8,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,9,I ADORE JISOO,"After the release of Snowdrop ep 6, topic #韩剧雪滴花# (Korean Drama Snowdrop) exceeds 850M views on Weibo

It has increased by 200M views after 17 hours

블랙핑크지수
#JISOO #지수 #블랙핑크지수 #김지수 #블랙핑크 #BLACKPINK #SNOWDROP https://t.co/XRDmlN9HRm",Sun Jan 02 06:02:52 +0000 2022,262,929
2022-01-02,10,Vipul Kankaria,"BGR Energy Systems:

Given a volume weighted BO from a resistance zone around 78-80, after 3 years

Volumes were decent during accumulation phase

CMP: 86
SL: 54
TARGETS: 124 / 184

Add in parts &amp; dips, limited quantity https://t.co/K0Xka26vj4",Sun Jan 02 16:49:45 +0000 2022,30,249
2022-01-01,1,Jegathesan Durairaj (Jegan),"PNL Summary Apr-Dec 2021
Capital: 2.1Cr

Yearly Trading Profit : 98.55L -&gt; ROI ( 46.93% )
Debt fund Return    : 7.87L
Total Yearly Profit    : 1.06Cr -&gt; ROI ( 50.67% )

Monthly Profit : 37.48L  -&gt; ROI(Dec:13.83% )
Max DD: 5%

For a detailed check out here: https://t.co/OFr8trI8k7 https://t.co/mg7bavvstE",Sat Jan 01 09:43:23 +0000 2022,7,229
2022-01-01,2,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
