Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
2022-01-01,2,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-01,3,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,4,Tickeron,Do you agree with the A.I. prediction? $PIRS price exceeded its 50-day Moving Average. #PierisPharmaceuticals #stockmarket #stock https://t.co/LwDG1ciWZp https://t.co/iIz2NqWerC,Sat Jan 01 23:57:00 +0000 2022,0,0
2022-01-01,5,TheCoinMonitor,"#FTT - long alert 🤑🤑

Exchange     : FTX
Market         : $FTT - $USD
Volume        : $630,730
Price            : $40.148

$BTC #BTC $ETH #ETH https://t.co/8g0VQNY2S9",Sat Jan 01 23:54:40 +0000 2022,0,0
2022-01-01,6,TheCoinMonitor,"#OMG - long alert 💰💸

Exchange     : FTX
Market         : $OMG - $PERP
Volume        : $118,046
Price            : $6.0881

$BTC #BTC $ETH #ETH https://t.co/nytxe67AP2",Sat Jan 01 23:53:36 +0000 2022,0,0
2022-01-01,7,TheCoinMonitor,"#DYDX - long alert 💸🤑

Exchange     : FTX
Market         : $DYDX - $USD
Volume        : $111,803
Price            : $8.4500

$BTC #BTC $ETH #ETH https://t.co/OldsrL1NDh",Sat Jan 01 23:59:44 +0000 2022,0,0
2022-01-01,8,Tickeron,"$HEXO's Aroon indicator drops into Downtrend on December 31, 2021. View odds for this and other indicators: https://t.co/lbaqOCG2AX #HEXO #stockmarket #stock https://t.co/lZ9S6n5ud0",Sat Jan 01 23:53:27 +0000 2022,0,0
2022-01-01,9,Tickeron,"$DLTR in +1.42% Uptrend, advancing for three consecutive days on December 30, 2021. View odds for this and other indicators: https://t.co/cUywQYesxp #DollarTree #stockmarket #stock https://t.co/mfnxUhhCKk",Sat Jan 01 23:58:26 +0000 2022,0,0
2022-01-01,10,Tickeron,"$BYSI in Downtrend: 50-day Moving Average moved below 200-day Moving Average on December 7, 2021. View odds for this and other indicators: https://t.co/ow2qUlZSJO #BeyondSpring #stockmarket #stock https://t.co/5E2wmAzMe9",Sat Jan 01 23:52:44 +0000 2022,0,0
2022-01-02,1,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,2,FXCM Market Data,"#UK100 SSI is at -3.08

Risk Warning: Losses can exceed deposits.
Disclaimer: Past performance is not indicative of future results. https://t.co/8ZFUXxod0g",Sun Jan 02 23:58:05 +0000 2022,0,1
2022-01-02,3,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,4,TheFUTSBC,"Some straightforward calls again if you understand market dynamics 👇

Guendouzi - Massive hype on him, mini Gullit and a viable Ligue1 CM 📈

Delaine - Best LB in Ligue 1, probably also the best 🇫🇷 LB, and compared to Theo… was just too cheap 📈

#FIFA22 https://t.co/ELHhxmtygv",Sun Jan 02 23:58:41 +0000 2022,2,4
2022-01-02,5,Tickeron,"A.I.dvisor made a bearish call on $CARV, netting in a 41.71% gain over 1 month #CarverBan #stockmarket #stock https://t.co/ka7r2YWP1U https://t.co/LlxyVb3txP",Sun Jan 02 23:54:02 +0000 2022,0,0
2022-01-02,6,Being Robot 2.0 ➐,"$XTZ #XTZ 
1W
Can the bots repeat themselves?
I guess all depends on corn and market after all but might get some small bag incase and plan to build posn prolly...will see
PS: #MATIC  had same railway track pattern on top so careful. https://t.co/4bEShRBeEy",Sun Jan 02 23:55:59 +0000 2022,0,0
2022-01-02,7,Krissy♥️🚫➕,My house could be your stock pot inn 😩 just come home sweetie 👀♥️🕒⚾️🛼 https://t.co/cttJBrMciU,Sun Jan 02 23:57:31 +0000 2022,0,2
2022-01-02,8,The MTG Art Market,"You have to bid to win! The sketches for Wheel of Fortune ends tonight at 11PM EST!

https://t.co/edxgmqFxIu https://t.co/eXg6khoIMo",Sun Jan 02 23:53:34 +0000 2022,0,2
