Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,2,霞が関@S&P500•高配当株•資産形成•NVDA•新NISA🇺🇸,"【運用リターンによる家計金融資産🌼】

米国は20年間で2.0倍に伸びているのに対し、日本は1.2倍にとどまっています☃️

日本人は保有資産のうち預金の割合が多く、預金金利はゼロに近いので、効率的な資産形成が米国・英国と比べできていない事がこの図から読み取れます☃️

#投資家さんと繋がりたい https://t.co/SBMVsMhG8J",Sat Jan 01 13:42:13 +0000 2022,81,564
2022-01-01,3,たけぞう,"経営者が選ぶ 有望株

1位   ソニー
2位  信越
3位  トヨタ

11位  レノバ   
あらら https://t.co/oDJVQEbHFZ",Sat Jan 01 04:16:16 +0000 2022,71,549
2022-01-01,4,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,5,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
2022-01-01,6,may,"NIELSEN KOREA RATING IS OUT
Episode 16 : 17% Nationwide, 16.4% Metropolitan Area,  with peak 19.4%
Episode 17 : 17.4% Nationwide, 16.8% Metrppolitan Area Peak 18.1%
YALL WE’RW GOING URIJIBBBBBVBBV

#TheRedSleeve https://t.co/NXTDBh6lmt",Sat Jan 01 22:52:49 +0000 2022,55,189
2022-01-01,7,伊藤 忍@マネー雑誌で副業中,みんながつみたてNISAやiDeCoで買っていそうな投資信託（eMAXIS Slim、楽天バンガード）+格安コストで人気のSBI・V、年内ラストウィークのまとめです！　今週一番上がったのは、SBI・Vの高配当株式（＋1.97％）でした！　また、eMAXIS Slim 先進国株式の基準価額が設定来初の2万台乗せ！ https://t.co/X3Ibs8NgY2,Sat Jan 01 08:10:03 +0000 2022,22,240
2022-01-01,8,なつ,日経平均はこの10年で約3.4倍になりましたが配当込み指数では約4倍となっています。配当金の蓄積は馬鹿にできません。また、日経平均は史上最高値からまだ約26%下ですが、配当込み指数では約12%上と既に史上最高値を更新しています。これでも未だに株はギャンブルで損するものと敬遠する人が多いです。,Sat Jan 01 22:06:37 +0000 2022,98,835
2022-01-01,9,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,10,Stock Market Scientist™,"Themes To Focus in 2022

1. Infrastructure 
2. Capital Goods
3. Media
4. Auto Ancillary
5. Textile
6. Ethanol 
8. Gems &amp; Jewellery 
9. IT(Stock Specific)
10. Reality(Stock Specific)

Note- Plz consult with your financial advisor before investing/trading 🙏 https://t.co/IaDq2F3x6K",Sat Jan 01 16:14:54 +0000 2022,40,231
Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,北乃あいす＠兼業投資家,"2021年のSaaS企業株価成長をまとめてみました

手間いらずまでが年初来プラスで、それ以下は全てマイナスという結果

グレイステクノロジーとAIinsideは9割減の逆テンバガー https://t.co/WPfebv3jdZ",Sun Jan 02 13:01:29 +0000 2022,66,315
2022-01-02,2,Vipul Kankaria,"BGR Energy Systems:

Given a volume weighted BO from a resistance zone around 78-80, after 3 years

Volumes were decent during accumulation phase

CMP: 86
SL: 54
TARGETS: 124 / 184

Add in parts &amp; dips, limited quantity https://t.co/K0Xka26vj4",Sun Jan 02 16:49:45 +0000 2022,30,249
2022-01-02,3,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,4,平　均,"FRBが保有資産を縮小するQT（量的引き締め）を早期に実施するなど、各中央銀行の引き締めが強まると、株式市場の変動率が高まる。

実際、FRBが利上げとQTを同時に進めた2018年は米国株が乱高下の展開となった経緯がある。 https://t.co/I7g6xvzca1",Sun Jan 02 14:56:15 +0000 2022,33,249
2022-01-02,5,平　均,"これ見ると、黙って「NASDAQ100」にインデックス投資しておけばいいんじゃね？という気がしてきた。

（こういう比較グラフは、起点の妥当性がいつも問題になるんだけど…） https://t.co/1Fx9kVMQNy",Sun Jan 02 14:17:47 +0000 2022,32,465
2022-01-02,6,たけぞう,"S&amp;P500  

2021年  最高値更新  70回

1995年の77回に次いで 2番目に
多かった https://t.co/tMn1NmHUWq",Sun Jan 02 20:55:13 +0000 2022,20,208
2022-01-02,7,Charles Edwards,"History suggests the beginning of rate rise regimes actually result in stock market strength for 6 months.

10 of the 13 regimes (77%) since the 1950s had positive stock market returns over the first six months, averaging +5.1%.

We are approaching the start of a new regime now. https://t.co/Yp0UMsCJze",Sun Jan 02 16:03:45 +0000 2022,266,1246
2022-01-02,8,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp7 

Ep 7 — 3.252% 

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/kBNkhOe1aF",Sun Jan 02 22:09:43 +0000 2022,1652,5615
