Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-01,2,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,3,Pollo2x,my market beliefs? depends who im trolling that day.. https://t.co/JVIcGly0PF,Sat Jan 01 23:57:43 +0000 2022,6,130
2022-01-01,4,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
2022-01-01,5,Tickeron,Do you agree with the A.I. prediction? $PIRS price exceeded its 50-day Moving Average. #PierisPharmaceuticals #stockmarket #stock https://t.co/LwDG1ciWZp https://t.co/iIz2NqWerC,Sat Jan 01 23:57:00 +0000 2022,0,0
2022-01-01,6,Strike Market,"$JNJ is the world's most broadly based global health care business with more than 275 companies in over 60 countries. See the Google Trends graph of its iconic brands  👇 .

 👉 Check out more ALT data about $JNJ at: https://t.co/3B9iQB5t6u https://t.co/iwtji6A5DT",Sat Jan 01 23:58:07 +0000 2022,0,0
2022-01-01,7,Tickeron,"$HEXO's Aroon indicator drops into Downtrend on December 31, 2021. View odds for this and other indicators: https://t.co/lbaqOCG2AX #HEXO #stockmarket #stock https://t.co/lZ9S6n5ud0",Sat Jan 01 23:53:27 +0000 2022,0,0
2022-01-01,8,Tickeron,"$DLTR in +1.42% Uptrend, advancing for three consecutive days on December 30, 2021. View odds for this and other indicators: https://t.co/cUywQYesxp #DollarTree #stockmarket #stock https://t.co/mfnxUhhCKk",Sat Jan 01 23:58:26 +0000 2022,0,0
2022-01-01,9,Tickeron,"$BYSI in Downtrend: 50-day Moving Average moved below 200-day Moving Average on December 7, 2021. View odds for this and other indicators: https://t.co/ow2qUlZSJO #BeyondSpring #stockmarket #stock https://t.co/5E2wmAzMe9",Sat Jan 01 23:52:44 +0000 2022,0,0
2022-01-01,10,Tickeron,$TGTX's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram just turned positive. View odds for this and other indicators: https://t.co/YCUu3kPMM7 #TGTherapeutics #stockmarket #stock https://t.co/BjDzUWUCjY,Sat Jan 01 23:54:53 +0000 2022,0,0
2022-01-02,1,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,2,Krissy♥️🚫➕,My house could be your stock pot inn 😩 just come home sweetie 👀♥️🕒⚾️🛼 https://t.co/cttJBrMciU,Sun Jan 02 23:57:31 +0000 2022,0,2
2022-01-02,3,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,4,FXCM Market Data,"#UK100 SSI is at -3.08

Risk Warning: Losses can exceed deposits.
Disclaimer: Past performance is not indicative of future results. https://t.co/8ZFUXxod0g",Sun Jan 02 23:58:05 +0000 2022,0,1
2022-01-02,5,Trung Phan,"When Steve Jobs unveiled the iPhone in Jan 2007, the maker of BlackBerry — Research in Motion (RIM) — had a market cap near Apple's ($60B vs. $75B). 

Now, it’s $5B vs. ~$3T.

While Jobs positioned iPhone perfectly, RIM made 5 decisions that led to its fall.

Here's a breakdown🧵 https://t.co/qjzAEUWF2w",Sun Jan 02 17:11:52 +0000 2022,2334,8969
2022-01-02,6,Technocrat 🥷 ,#Tesla PT $1050 will be considered as a good entry point for the year 2022! New product road-map and imminent stock split! It’s up to you to decide whether you want the gains or not!  $TSLA https://t.co/6yEGQwoUr0,Sun Jan 02 23:58:03 +0000 2022,0,2
2022-01-02,7,The MTG Art Market,"You have to bid to win! The sketches for Wheel of Fortune ends tonight at 11PM EST!

https://t.co/edxgmqFxIu https://t.co/eXg6khoIMo",Sun Jan 02 23:53:34 +0000 2022,0,2
2022-01-02,8,StockMarketTipsFromaBadBitch,"Here’s 7 of my top 22 stock picks for 2022… click the link below to join my private stock club to see and discuss all 22 picks.
https://t.co/5wpdzS1cGI https://t.co/x11kaDI4tD",Sun Jan 02 23:52:38 +0000 2022,3,14
2022-01-02,9,John Quakes,Remember class:👨‍🏫 #Uranium bull market🐂 is underpinned by a huge supply deficit⏬⛏️ brought on by low #U3O8 prices &amp; 10 years of under-investment &amp; shuttered U mines.⛔ #Nuclear resurgence &amp; #EU Green #Energy label aren't required🌲 but will certainly add more rocket fuel.🚀🌜👇 https://t.co/hCrwz6uOLZ,Sun Jan 02 23:58:15 +0000 2022,16,124
2022-01-02,10,Being Robot 2.0 ➐,"$XTZ #XTZ 
1W
Can the bots repeat themselves?
I guess all depends on corn and market after all but might get some small bag incase and plan to build posn prolly...will see
PS: #MATIC  had same railway track pattern on top so careful. https://t.co/4bEShRBeEy",Sun Jan 02 23:55:59 +0000 2022,0,0
2022-01-03,1,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,2,Indian Bureaucracy,Ministry of Mines | Efforts to Attain Self –reliance in Critical &amp; Strategic Mineral Requirements - https://t.co/QVY4N8zmVS https://t.co/LBGbSTBjsL,Mon Jan 03 23:54:39 +0000 2022,0,2
2022-01-03,3,Stock Market News,Show your Strategy  WallStreetBets Wall Street Bets #StockMarket Men's Short Sleeve T-Shirt https://t.co/glDy0IqTVt - Buy on eBay #Stocks #Ad https://t.co/PLMw7rLCnR,Mon Jan 03 23:57:05 +0000 2022,1,0
2022-01-03,4,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,5,RTTNews Top Stories,Malaysia Stock Market Tipped To Rebound On Tuesday https://t.co/KWl2QffqsT #stocks #trading #rttnews https://t.co/6Y7sN0ndHU,Mon Jan 03 23:54:34 +0000 2022,0,0
2022-01-03,6,Chenango Valley Market,How beautiful is that? https://t.co/E2bCl9HkL6,Mon Jan 03 23:53:19 +0000 2022,0,0
2022-01-03,7,Xtian Emiliano,You pray to God to send you an investment banker or a hedge fund owner and all the has in stock are hourly workers who slang Forex and options on Instagram https://t.co/EkjHIdYQRf,Mon Jan 03 23:51:39 +0000 2022,0,0
2022-01-03,8,MELANIA TRUMP,"It is widely reported that Bitcoin's market cap exceeds USD$1 Trillion.  Today marks the 13th anniversary of the Bitcoin Genesis Block.  Happy Anniversary, #SatoshiNakamoto #MelaniaNFT https://t.co/aZqNJFcZmd",Mon Jan 03 22:22:08 +0000 2022,6776,40077
2022-01-03,9,KC Downtown Neighborhood Association,"If being involved in your community is your New Year's resolution &amp; you live or work in the River Market or Downtown Loop, consider joining the Downtown Neighborhood Association. Sign up here:
https://t.co/BypwkCvzCy https://t.co/Ef7G9qzuGV",Mon Jan 03 23:48:35 +0000 2022,9,10
2022-01-03,10,CK,Donald Trump Jr. is officially off the market and on behalf of women everywhere… https://t.co/aevh50LE2m,Mon Jan 03 23:55:42 +0000 2022,1,4
2022-01-04,1,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,2,DeFi Kingdoms 🔺🌿,"⚔️👑DeFi Kingdoms👑⚔️
Top 100 Market Cap Giveaway!

🎉100 Winners
💎50 $Jewel Each
✅Retweet to enter
Ends 01/05 at 7pm EST ⏰

#DeFiKingdoms #DeFi #Serendale #DFK #GameFi $JEWEL #HarmonyONE #BlockchainGaming #CoinGecko #MarketCap https://t.co/7JILpglhJn",Tue Jan 04 00:00:33 +0000 2022,12360,8744
2022-01-04,3,Inn At The Market,"Located in the famous @pike_place, our luxury hotel offers modern #PNW style and comfort. Book your room with us now! #VisitSeattle #InnAtTheMarket https://t.co/W1RjZnGQyU https://t.co/KVZkwPSRxP",Tue Jan 04 23:55:01 +0000 2022,0,4
2022-01-04,4,DarvasBoxAI🔲🤖🤖,"shorted $NET right from the open and broke thru the bottom of its Darvas Box shortly after

the stock used to be the Endless-Up poster child but not anymore. Heck I even traded it at the peak for a quickie, wish I'd bet against it then. We'll see what happens now📉 https://t.co/4NjL62zgPF",Tue Jan 04 23:48:00 +0000 2022,0,7
2022-01-04,5,Start-track.com,"Two more releases are on the verge of selling out and being gone forever! Both ZT127 and ZT142 have only 1 copy left in stock, and are 6 euros a pop.
Estimated value? Priceless :) https://t.co/1lNNiHhvil",Tue Jan 04 23:58:58 +0000 2022,3,6
2022-01-04,6,TiDBYTS 🦆🍑🚜🥬 (Blue X 🔜),"Happy Tuesday, say hi to the groovy Duck Butt 133!

Don't let time expire on this Butt!

Drop a few bids and get some tickets for the Duck Butts Arcade! We'll be adding a new top tier prize soon...

Bid: https://t.co/Y2RqJLUEJr
Arcade: https://t.co/OtTTvuoADY

#nft #nfts #nftdrop https://t.co/DoXcdZbvKC",Tue Jan 04 23:57:00 +0000 2022,2,5
2022-01-04,7,WikiVictorian,"Fish and chips became a stock meal among the working classes in England as a consequence of the rapid development of trawl fishing in the North Sea, and the development of railways which connected the ports to major industrial cities during the second half of the 19th century https://t.co/vujxGFKe0A",Tue Jan 04 23:53:53 +0000 2022,5,77
2022-01-04,8,Hek,"I’ve said this before but, the 10yr above that red TL and this bull market is cooked.

Looks like $ZB is aiming for ~146… which would put 10 year around 2.3%

Now 1.66% https://t.co/ysPZSgdWBI",Tue Jan 04 23:53:02 +0000 2022,5,40
2022-01-04,9,BioMedicalRx 🧬,$xbi a lot of panic and frustration and not an expert but this looks like the accumulation phase of the market right? https://t.co/IVgUi1sOfc,Tue Jan 04 23:57:58 +0000 2022,0,9
2022-01-04,10,ChilledKongs Sales,"ChilledKong0636 with Agent Suit (1.38%) was market-bought on https://t.co/L35OIFJv6U for 1,550 ADA ($2,035.89) https://t.co/WLda8hOvGY",Tue Jan 04 23:55:22 +0000 2022,2,15
2022-01-05,1,TheGrimm,"This is me today 😂 just watching the market pull hard  😂😂😂 $SPY, $TSLA, and $BABA https://t.co/JlpYup2Dym",Wed Jan 05 23:55:28 +0000 2022,1,3
2022-01-05,2,Lily Ray 😏,"Here's how the SERP has changed for the KW ""school girl"" in the past 4 years:

In 2018, most of the results were costume stores selling ""sexy schoolgirl"" outfits.

In 2022, none of the results are for sexy costumes, but rather, stock photography (very PC), shopping for girls, etc https://t.co/dxcgx5j18e",Wed Jan 05 23:55:15 +0000 2022,5,33
2022-01-05,3,Jester Trades,"Our example we are going to use $QQQ . This is the ""overall market' that follows the NASDAQ. The market is in a clear overall downtrend &amp; selling off so we look for the best opportunity to take puts. This means are betting on the stock to go down &amp; LOWER than our entry(Shorting) https://t.co/tW0svRBMV1",Wed Jan 05 23:58:38 +0000 2022,7,25
