Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,Soul 🇵🇸🇨🇩,"Name one JSE stock (not crypto) that everyone must have in their portfolios for 2022
👇🏾",Sat Jan 01 16:23:18 +0000 2022,2812,6292
2022-01-01,2,د. بدر سالم البدراني,"التحليل الإحصائي باستخدام البرنامج الإحصائي SPSS

إعداد الدكتور: نافذ محمد بركات.

https://t.co/YbOxFqUDDC",Sat Jan 01 20:42:20 +0000 2022,44,249
2022-01-01,3,عبدالله مشاط,"نصيحة بافيت تكافئ اصحابها:
سبق ونصح وارن بافيت بشراء صندوق ETF سوق S&amp;P500 وعدم اختيار الشركات فرديا

سجل سوق S&amp;P500 عائد ~27% خلال عام 2021

بحسب قائمة من بلومبيرغ تتكون من 38 صندوق تحوط—فقط 3 صناديق تفوقت على متوسط اداء S&amp;P500

كيف اشتري سوق S&amp;P500؟
صندوق ETF مثل $SPY $VOO $SPUS https://t.co/G8IcruxBpQ",Sat Jan 01 16:27:01 +0000 2022,55,602
2022-01-01,4,なつ,日経平均はこの10年で約3.4倍になりましたが配当込み指数では約4倍となっています。配当金の蓄積は馬鹿にできません。また、日経平均は史上最高値からまだ約26%下ですが、配当込み指数では約12%上と既に史上最高値を更新しています。これでも未だに株はギャンブルで損するものと敬遠する人が多いです。,Sat Jan 01 22:06:37 +0000 2022,98,835
2022-01-01,5,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,6,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-01,7,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,8,آنگن ٹیڑھا‎,"FBR has collected Rs 287b more than the target in H1FY22, whereas net revenue of Rs 2,920b was collected in this period.

Thats an increase of Rs 1,198b compared to H1FY18 and Rs 715b compared to H1FY21.

Refunds have increased by 33% to 148b as against 111b same period last year https://t.co/Q0gG6qLNzq",Sat Jan 01 03:44:16 +0000 2022,87,218
2022-01-01,9,DD,"Price Action : Breaker / Bos / Break Of Structure / Breaker Area / Market Structure Break
https://t.co/1L5oqAk2hH",Sat Jan 01 11:26:56 +0000 2022,31,211
2022-01-01,10,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
