Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,ScorpioManoj,"#FreeTools
My @ChartinkConnect dashboards 
1) Market Breadth 
https://t.co/OUuljsofwD
2) Market Breadth and Intraday pivot based stocks trend
https://t.co/8pUxByterR
3) Intraday camarilla breakouts
https://t.co/WVUV4dSDlB
4) Stocks Relative performance
https://t.co/U6g6gLdREA",Sun Jan 02 08:09:20 +0000 2022,92,274
2022-01-02,2,Bramesh Bhandari,"#nifty #neural for 2022

Imp #ASTRO  and #gann dates for #nifty50 

04-Jan-22
23-Jan-22
30-Jan-22
15-Feb-22
02-Mar-22
28-Mar-22
14-Apr-22
06-May-22
21-May-22
10-Jun-22
21-Jun-22
02-Jul-22
18-Jul-22
12-Aug-22
19-Aug-22
16-Sep-22
26-Sep-22
22-Oct-22
08-Nov-22
19-Nov-22
23-Dec-22 https://t.co/5WC5JD2oYc",Sun Jan 02 14:11:58 +0000 2022,84,279
2022-01-02,3,Krissy♥️🚫➕,My house could be your stock pot inn 😩 just come home sweetie 👀♥️🕒⚾️🛼 https://t.co/cttJBrMciU,Sun Jan 02 23:57:31 +0000 2022,0,2
2022-01-02,4,Otavio (Tavi) Costa,"Oil and gas E&amp;P stocks just had their best performance in 30 years.
 
A major market rotation is already in the making:

▪️ Out of software trading at ~30x sales

▪️ Into commodity producers at insanely cheap ~10x free-cash-flow multiples
 
Much more to unfold in the next years. https://t.co/0huaWqsA4F",Sun Jan 02 18:27:15 +0000 2022,67,320
2022-01-02,5,ibrahimakkaya,"Endeks  son  durum.//

Tillson 1900 üzeri kapanışlarda yukarı yönlü trend hızlanır ve 2196 ya kadar uzanır.!!

Haftalık 1832 destek seviyesi ve kırılmadı .!!

1832 seviyeleri 2500 den gelen trendin dip seviyesi.Bu seviye  kırılmadan sıkıntı yok.!!

#borsa #usdtry https://t.co/PXPRdfcwoK",Sun Jan 02 18:38:22 +0000 2022,33,339
2022-01-02,6,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,7,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,8,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,9,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,10,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp7 

Ep 7 — 3.252% 

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/kBNkhOe1aF",Sun Jan 02 22:09:43 +0000 2022,1652,5614
2022-01-03,1,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,2,EliteOptionsTrader,"Elite Options #Watchlist 💡

📈 $AAPL 1/14 180C over 177 | 🎯: 180 | SL: 175.80
📈 $AFRM 1/14 110C over 106 | 🎯: 114 | SL: 103

Swing Trade Ideas
📈 $SE 2/4 245C over 221 | 🎯: 248 | SL: 214
📈 $BIDU 3/18 165C over 146 | 🎯: 165 | SL: 141 https://t.co/VApWzXVP28",Mon Jan 03 02:44:59 +0000 2022,31,283
2022-01-03,3,Shreenidhi P,"Krishna institute of medical sciences
#KIMS

Goldman Sachs makes an entry
Goldman Sachs bought 73,009 shares of KIMS today at 1425.65rs/share

Sept 21 SHP has all reputed funds(both FIIs n DIIs holding good stake)

General Atlantic holds 17.24% stake as of September 21 https://t.co/pnuFLh3x1i",Mon Jan 03 14:58:56 +0000 2022,33,361
2022-01-03,4,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,5,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,6,Emekli Borsacı,"#bist100 çift kulplu fincan formasyonu :)

Formasyon 1906 üstünde kaldığı sürece çalışması beklenir altında kapanışlarda bozulur(tuzak kabul edilir)

Kulp ve fincan hedefleri sırasıyla 2033- 2177 seviyeleridir.

1906 üzerinde kaldığı sürece kısa vade problem yok.

#borsa #bist https://t.co/aSEhp3fLeW",Mon Jan 03 10:11:54 +0000 2022,8,259
2022-01-03,7,Selim KMD,"#TKNSA Teknosa Öyle bir yerde kapanış yaptı ki...
6.57 ile Araf'ta..

6.60 üzerinde kapanış görelim.⏰
Güvenli bölge 7.00 ve üzeri. https://t.co/2vnDeybH4A",Mon Jan 03 17:58:16 +0000 2022,26,360
2022-01-03,8,Vijay Shanker Singh IPS Rtd,"सेंट्रल इलेक्ट्रॉनिक्स लिमिटेड (सीईएल) को एक अनजान सी कम्पनी नांदल फाइनेंस ने खरीद लिया है, जिंसमे केवल 10 कर्मचारी हैं। सीईएल की वास्तविक कीमत ₹1000 करोड़ से ₹1,600 करोड़ के बीच थी पर उसे मात्र ₹210 करोड़ में नंदल फाइनेंस बेच दिया गया है। https://t.co/071618zrY9",Mon Jan 03 08:59:49 +0000 2022,351,736
2022-01-03,9,Breakout Charts ®️,"Stocks to Watch Out

1. Cerebra
2. Kopran
3. Fortis
4. Balaji Amines https://t.co/G2CLa8pEEZ",Mon Jan 03 16:35:01 +0000 2022,39,334
2022-01-03,10,ASAN,"-High ROCE and High Growth will make the ship 🚢 reach the destination so quickly.

-High ROCE and Low Growth implies Ship 🚢 remains sail worthy and it doesn’t Sink but won’t progress well

-Low ROCE and Low Growth shows eventual destruction and Ship 🚢 will  Sink 
#investing https://t.co/ITAzsYT2PH",Mon Jan 03 05:08:08 +0000 2022,141,685
2022-01-04,1,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,2,Zeynep Aktaş,"BIST 100 Endeksi 
Borsada yükselen hisse sayısı 92
Düşen hisse sayısı 7
Borsada toplam hacim 27,6 milyar TL
BIST 100 İşlem hacmi 21,9 milyar TL
#XU100 #endeks #borsa #yükseliş #hacim https://t.co/Am3sF3fJGd",Tue Jan 04 04:16:12 +0000 2022,16,377
2022-01-04,3,Breakout Charts ®️,"Stocks to Watch out

1. Hind Copper
2. FluoroChem
3. Praj 
4. Zuari Global

No need to mention Sugar Stocks, Already ran up today

Tell me yoursssss!!!!!! https://t.co/IjQcdsbQRu",Tue Jan 04 14:27:06 +0000 2022,40,424
2022-01-04,4,Ekonomikoçu,"#SP500 GÜNLÜK 

Buraya söylenecek çok fazla söz kalmadı.. Grafik nettir. 
Kesik çizginin üzerinde oluşan mumlar yan yanadır.. 
Bugün #Nasdaq düşüyor, #DOW yukarı alıyorlar, burası da stabil.. Devamlı gün geçiriyorlar.. Yaşasın BİDEN hükümeti.. Ah ulan Trump bizi bunlara bıraktın. https://t.co/9EnfCg1AN5",Tue Jan 04 20:15:31 +0000 2022,12,400
2022-01-04,5,DarvasBoxAI🔲🤖🤖,"shorted $NET right from the open and broke thru the bottom of its Darvas Box shortly after

the stock used to be the Endless-Up poster child but not anymore. Heck I even traded it at the peak for a quickie, wish I'd bet against it then. We'll see what happens now📉 https://t.co/4NjL62zgPF",Tue Jan 04 23:48:00 +0000 2022,0,7
2022-01-04,6,豆山くん,"「政府は再生可能エネルギー普及のために次世代送電網を整備する」と日経新聞が報道。
総額2兆円超の投資計画を想定しているという。
これを受け、送電網関連株に買いが集まった。

ETS HD（1789）
那須電機鉄工（5922）
昭和電線HD（5805）
東光高岳（6617）
住友電気工業（5802）
関電工（1942） https://t.co/inYjhCWx2I",Tue Jan 04 14:06:53 +0000 2022,43,348
2022-01-04,7,Kunal Bothra,"#Nifty Trend Analysis: Is 18600 coming?
Mind blowing indicator

STORSI Indicator suggests a very imp observation. Something which has worked  the last 6 years..

Whenever the indicator breaks above the YELLOW line.. it leads to a trend where the previous major high is taken out. https://t.co/JYSLIoLunF",Tue Jan 04 03:05:23 +0000 2022,41,257
2022-01-04,8,Selim KMD,"#Bist100 Borsa Kapanış 1963 ✅ 

*İlk güçlü direnci zorluyor. 1983 ♨️

*Direnci aşmakta zorlandığından Borsa gün içerisinde sarsılıyor.

*Bist100 Hisselerine odaklanacağız.

*1983 üzerinde kapanırsak her şey daha güzel olacak. 

*Hisse görünümleri pozitif.✅ https://t.co/P9QG7E0wOH",Tue Jan 04 17:26:02 +0000 2022,23,405
2022-01-04,9,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,10,Trading Warz,"FREE #OPTIONS Ideas

Scale out when above 25% Profit

$FB 342.50C&gt;340.69 | 335P&lt;337.58 
$ATVI  68C&gt;67.48 | 65P&lt;65.99
$WMT  145C&gt;144.62 | 143P&lt;143.19
$NKE 170C&gt;167.45 | 162.50P&lt;163.77

199 ❤️ for Bonus Picks

Detailed Guide + FREE Indicators below https://t.co/6UiZfqjpEv",Tue Jan 04 00:19:13 +0000 2022,17,280
2022-01-05,1,TheGrimm,"This is me today 😂 just watching the market pull hard  😂😂😂 $SPY, $TSLA, and $BABA https://t.co/JlpYup2Dym",Wed Jan 05 23:55:28 +0000 2022,1,3
