Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,2,𝓐𝓲𝓷𝓰𝓹.,"แจก อากาบง GOT7  1 แท่ง 

ของขวัญต้อนรับปีใหม่ 🐰
เฉพาะฟลว.เท่านั้นค่า 
สุ่มจากรีทวิต 🌈⛅️🤍🎉 #ตลาดนัดอากาเซ่ #ตลาดนัดอากาเซ https://t.co/Oxdm4WoV91",Sat Jan 01 07:14:11 +0000 2022,2912,1791
2022-01-01,3,Ravi Prasad (RSP) 🇮🇳,"#NewYearPick 
ready for 55% Upside 

Live Discussion and analysis 
tomorrow 8PM ,#ChartPeCharcha 
#Youtube live 
https://t.co/P6uVNFz1gg 

Telegram: https://t.co/DtoeaHh6PI

mcaptosales below 1
ROE : 12.5%
debt free

#microcap #stockmarket #RSP https://t.co/gl3vMRnu82",Sat Jan 01 14:08:53 +0000 2022,31,232
2022-01-01,4,オッジ@投資家ドクター,"去年、最も理想的だったトレードは準本命の日本電子材料❗️

上方修正後の最初の押し目を【日足ピボットロー】を見て買うことが出来ました。

半導体関連銘柄への追い風もありましたが、確実に割安という確信もありました😊

こういう成功体験を積み重ねて経験値を上げていきましょう😊✨ https://t.co/FtMeenRlj7",Sat Jan 01 22:40:29 +0000 2022,19,197
2022-01-01,5,Priti Tiwari,"#RisaIntl
↪️ Penny Stock - Debt free &amp; Low promoter Holding
↪️ Buy at CMP - 0.58
↪️ Target - 1.1-2.4-3.5+ (Short term)
↪️ SL - 0.30 DCB
↪️ Super risky investment as this company has a poor fundamentals.
↪️ Invest small here 
↪️ P.S - Not invested https://t.co/S5nXip9m9h",Sat Jan 01 17:21:14 +0000 2022,60,486
2022-01-01,6,霞が関@S&P500•高配当株•資産形成•NVDA•新NISA🇺🇸,"【運用リターンによる家計金融資産🌼】

米国は20年間で2.0倍に伸びているのに対し、日本は1.2倍にとどまっています☃️

日本人は保有資産のうち預金の割合が多く、預金金利はゼロに近いので、効率的な資産形成が米国・英国と比べできていない事がこの図から読み取れます☃️

#投資家さんと繋がりたい https://t.co/SBMVsMhG8J",Sat Jan 01 13:42:13 +0000 2022,81,564
2022-01-01,7,引きこもり投資家/投資収益５０００万到達！,"◎2022年絶対に頭に入れて置いてほしい事

ジリ上げが強い時は、
上昇の波が崩れてからジリジリ下落転換する事が多い

だから、

1枚目の画像の様な
『ジリ上げ強からの超ドカン下げ』みたいな動きは
滅多にない！

逆に、

ドカン上げ上昇相場の時は、
一気に下落転換する事が少なくない！(3枚目画像) https://t.co/dS5nj86bR2",Sat Jan 01 02:00:00 +0000 2022,34,313
2022-01-01,8,Nuneonatsu 준호🐧,"Real time rating ep 17 
25.25%

#TheRedSleeve https://t.co/cOkIcEq3mD",Sat Jan 01 15:25:47 +0000 2022,555,741
2022-01-01,9,ONLINE SHOPPING ✨,"✨ sprei pastel ala korea so gemash banget start 70ribuan ✨

eyegasm and aeshtetic 

https://t.co/YaWralagwS https://t.co/4M2WmTTPCf",Sat Jan 01 06:01:02 +0000 2022,60,422
2022-01-01,10,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-02,1,北乃あいす＠兼業投資家,"2021年のSaaS企業株価成長をまとめてみました

手間いらずまでが年初来プラスで、それ以下は全てマイナスという結果

グレイステクノロジーとAIinsideは9割減の逆テンバガー https://t.co/WPfebv3jdZ",Sun Jan 02 13:01:29 +0000 2022,66,315
2022-01-02,2,Kou@ベーシストFX手法研究家,ちょっと言うね。チャートパターンには三尊、ダブルトップ、アセンディングトライアングル等たくさんあるけど結局「ダウによるものが機能」する。上位足の目線と流れを一定の基準で読み取り狙う方向が定まれば下位足で見る場所は決まってくるよ。その中身を丁寧に見るとマルチタイムフレーム分析が完成 https://t.co/lSdIIPBjsM,Sun Jan 02 00:30:04 +0000 2022,31,305
2022-01-02,3,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,4,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,5,飛び石のしゅん@💪🥺,"#ドズル社神社
ぼんじゅうるRTA業界に激震が走った...。
11.95を叩き出しました('ω')b https://t.co/8g3yf7eDgO",Sun Jan 02 13:27:07 +0000 2022,153,2066
2022-01-02,6,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,7,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,8,たけぞう,"https://t.co/vuaKtcdS7O
相場サイクルの見分け方&lt;新装版&gt;　―銘柄選択と売買のタイミング

「金融相場」「業績相場」「逆金融相場」「逆業績相場」――

証券会社に入社した時に読んだ本！
今でも見直す事もある https://t.co/TTWec21zLx",Sun Jan 02 22:04:45 +0000 2022,122,920
2022-01-02,9,ScorpioManoj,"#FreeTools
My @ChartinkConnect dashboards 
1) Market Breadth 
https://t.co/OUuljsofwD
2) Market Breadth and Intraday pivot based stocks trend
https://t.co/8pUxByterR
3) Intraday camarilla breakouts
https://t.co/WVUV4dSDlB
4) Stocks Relative performance
https://t.co/U6g6gLdREA",Sun Jan 02 08:09:20 +0000 2022,92,274
2022-01-02,10,平　均,"これ見ると、黙って「NASDAQ100」にインデックス投資しておけばいいんじゃね？という気がしてきた。

（こういう比較グラフは、起点の妥当性がいつも問題になるんだけど…） https://t.co/1Fx9kVMQNy",Sun Jan 02 14:17:47 +0000 2022,32,465
