Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-04,1,Ekonomikoçu,"#XAGUSD GÜNLÜK 

Grafik nettir.. 23.45 üzeri kapanış gelirse kendisini kurtarır.. Gitmek istese de ABD faizleri kafa kaldırınca gardı düşüyor.. Bu sebeple genelde teknik hareketler ile geçiyor günler.. Bu bölgeyi izlemeye devam.. https://t.co/6TKvkLfq0K",Tue Jan 04 19:36:08 +0000 2022,44,443
2022-01-04,2,RubenTrades,"WHAT A DAAAAAY!
 
Traded with some awesome traders, 
added a monitor I didn't need (the most dangerous place on earth is between me and a new monitor) 
And alerted a trade to stock-yoda @Switterman that he liked and we both took (boy was I glad it worked) https://t.co/ltNEtGEAzW",Tue Jan 04 23:54:39 +0000 2022,2,72
2022-01-04,3,レイチェル,おはようございます。主要3指数はまちまちの展開。ダウは2日連続での最高値更新。一方ナスダックは長期金利上昇を受け下落する展開。S&amp;P500もわずかに反落。 https://t.co/OHO8aqrwCM,Tue Jan 04 21:45:57 +0000 2022,40,486
2022-01-04,4,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,5,豆山くん,"「政府は再生可能エネルギー普及のために次世代送電網を整備する」と日経新聞が報道。
総額2兆円超の投資計画を想定しているという。
これを受け、送電網関連株に買いが集まった。

ETS HD（1789）
那須電機鉄工（5922）
昭和電線HD（5805）
東光高岳（6617）
住友電気工業（5802）
関電工（1942） https://t.co/inYjhCWx2I",Tue Jan 04 14:06:53 +0000 2022,43,348
2022-01-04,6,もみあげ🇺🇸 米国株投資,"米国株最終
ダウ+0.59% ナス-1.33% SP-0.06% ラッセル-0.16% もみ+0.6%
・原油+1.1%（40万/日増産キープ）
・金利2年-3bps 10年+2.4bps
・SM58.7（12月61.1)
→インフレ懸念テック売り
⇔金融・エネ・資本・素材など強めに
$F +11.6%
・グロース→バリューリバランス（出来高参照）
・明日はFOMC議事録 https://t.co/NQijFPFP0s",Tue Jan 04 21:10:35 +0000 2022,33,280
2022-01-04,7,Trading Warz,"FREE #OPTIONS Ideas

Scale out when above 25% Profit

$FB 342.50C&gt;340.69 | 335P&lt;337.58 
$ATVI  68C&gt;67.48 | 65P&lt;65.99
$WMT  145C&gt;144.62 | 143P&lt;143.19
$NKE 170C&gt;167.45 | 162.50P&lt;163.77

199 ❤️ for Bonus Picks

Detailed Guide + FREE Indicators below https://t.co/6UiZfqjpEv",Tue Jan 04 00:19:13 +0000 2022,17,280
2022-01-04,8,DekmarTrades via TradeCaster,"Take a guess on what’s my favorite play?

Can you blame me? This stock moves enough to make over $50,000 a day! https://t.co/ApydBzZz05",Tue Jan 04 23:56:11 +0000 2022,3,22
2022-01-04,9,Ekonomikoçu,"#SP500 GÜNLÜK 

Buraya söylenecek çok fazla söz kalmadı.. Grafik nettir. 
Kesik çizginin üzerinde oluşan mumlar yan yanadır.. 
Bugün #Nasdaq düşüyor, #DOW yukarı alıyorlar, burası da stabil.. Devamlı gün geçiriyorlar.. Yaşasın BİDEN hükümeti.. Ah ulan Trump bizi bunlara bıraktın. https://t.co/9EnfCg1AN5",Tue Jan 04 20:15:31 +0000 2022,12,400
2022-01-04,10,ばっちゃま,"【ばっちゃまの米国株YouTube🇺🇸👵🏻】
 (1/4) 悪い兆候です。
今日のビデオ内容なんですけども
- 今日のマーケット確認しましょう: $AAPL $TSLA $HA $CCL $XOM $DAL などに注目
- アメリカ10年債利回りが上昇
- YouTube Live のまとめ: $CRWD は要注意！
https://t.co/MCnx4FSaOk https://t.co/TXhGMRXaRH",Tue Jan 04 07:15:00 +0000 2022,18,236
2022-01-02,1,Ahmad Alsabban | أحمد الصبان,"📍3 نقاط
▪️لست مستشارا ماليا
▪️ليست توصية شراء بالسعر الحالي
▪️لا تشتر بشركة لا تعرف نشاطها ولا قوائمها

📍3 شركات ممتازة/تدفقاتها النقدية مستقرة:
▪️فيس بوك/ميتا $FB
▪️انتل $INTC
▪️ميرك $MRK

📍3 شركات عالية الخطورة/مرحلة نمو:
▪️ميتربورت $MTTR
▪️بلانتير $PLTR
▪️توببر وير  $TUP https://t.co/4Enr5Lqeof",Sun Jan 02 13:49:38 +0000 2022,9,232
2022-01-02,2,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,3,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,4,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,5,Vijay Marathe,"🥂⚡️Big Breakout Story ⚡️🏆
#BGRENERGY
⚡️Stock has broken out 3 years of strong resistance
⚡️Volume is unusual at the time of breakout
⚡️Stock is trading above 200 DMA on weekly charts
⚡️Consolidation before breakout (Sign of strong breakout )
@chartmojo https://t.co/djh8ediJTm",Sun Jan 02 06:06:48 +0000 2022,83,472
