Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,Tickeron,Do you agree with the A.I. prediction? $PIRS price exceeded its 50-day Moving Average. #PierisPharmaceuticals #stockmarket #stock https://t.co/LwDG1ciWZp https://t.co/iIz2NqWerC,Sat Jan 01 23:57:00 +0000 2022,0,0
2022-01-01,2,Tickeron,"$HEXO's Aroon indicator drops into Downtrend on December 31, 2021. View odds for this and other indicators: https://t.co/lbaqOCG2AX #HEXO #stockmarket #stock https://t.co/lZ9S6n5ud0",Sat Jan 01 23:53:27 +0000 2022,0,0
2022-01-01,3,Tickeron,"$DLTR in +1.42% Uptrend, advancing for three consecutive days on December 30, 2021. View odds for this and other indicators: https://t.co/cUywQYesxp #DollarTree #stockmarket #stock https://t.co/mfnxUhhCKk",Sat Jan 01 23:58:26 +0000 2022,0,0
2022-01-01,4,Tickeron,"$BYSI in Downtrend: 50-day Moving Average moved below 200-day Moving Average on December 7, 2021. View odds for this and other indicators: https://t.co/ow2qUlZSJO #BeyondSpring #stockmarket #stock https://t.co/5E2wmAzMe9",Sat Jan 01 23:52:44 +0000 2022,0,0
2022-01-01,5,Tickeron,$TGTX's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram just turned positive. View odds for this and other indicators: https://t.co/YCUu3kPMM7 #TGTherapeutics #stockmarket #stock https://t.co/BjDzUWUCjY,Sat Jan 01 23:54:53 +0000 2022,0,0
2022-01-01,6,𝕮𝖍𝖗𝖎𝖘𝖙'𝖘 𝕭𝖑𝖔𝖔𝖉,"$1,000 per film and I'll consider it. https://t.co/LFcWC7CyCG",Sat Jan 01 23:57:47 +0000 2022,0,1
2022-01-01,7,Gavin Jaunky,"“Corner the market, then raise the price”. #EconTwitter https://t.co/bFALbWNWCQ",Sat Jan 01 23:58:51 +0000 2022,1,0
2022-01-01,8,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,9,"Bot Collectibles (Pokemon, Funko, ⚾️ cards, etc)","[$27.48]
21 Panini Chronicles Baseball Value Box
#tradingCards
Source: Walmart Checker
Reason: IN_STOCK

🛒: https://t.co/RkRsQnobw8

06:57:12.3180 PM EST #Ad

https://t.co/H5vTiSBxHz",Sat Jan 01 23:57:30 +0000 2022,1,0
2022-01-01,10,Katlin Hanson,"Tried spicy beef #kabab - low fat, low sodium, and delicious. From #Kitchen &amp; #Spice Market on Jadwin in #Richland #Washington",Sat Jan 01 23:50:49 +0000 2022,0,0
2022-01-02,1,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,2,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
