Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,Vipul Kankaria,"BGR Energy Systems:

Given a volume weighted BO from a resistance zone around 78-80, after 3 years

Volumes were decent during accumulation phase

CMP: 86
SL: 54
TARGETS: 124 / 184

Add in parts &amp; dips, limited quantity https://t.co/K0Xka26vj4",Sun Jan 02 16:49:45 +0000 2022,30,249
2022-01-02,2,Otavio (Tavi) Costa,"Oil and gas E&amp;P stocks just had their best performance in 30 years.
 
A major market rotation is already in the making:

▪️ Out of software trading at ~30x sales

▪️ Into commodity producers at insanely cheap ~10x free-cash-flow multiples
 
Much more to unfold in the next years. https://t.co/0huaWqsA4F",Sun Jan 02 18:27:15 +0000 2022,67,319
2022-01-02,3,Vijay Marathe,"🥂⚡️Big Breakout Story ⚡️🏆
#BGRENERGY
⚡️Stock has broken out 3 years of strong resistance
⚡️Volume is unusual at the time of breakout
⚡️Stock is trading above 200 DMA on weekly charts
⚡️Consolidation before breakout (Sign of strong breakout )
@chartmojo https://t.co/djh8ediJTm",Sun Jan 02 06:06:48 +0000 2022,83,472
2022-01-02,4,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,5,Trung Phan,"When Steve Jobs unveiled the iPhone in Jan 2007, the maker of BlackBerry — Research in Motion (RIM) — had a market cap near Apple's ($60B vs. $75B). 

Now, it’s $5B vs. ~$3T.

While Jobs positioned iPhone perfectly, RIM made 5 decisions that led to its fall.

Here's a breakdown🧵 https://t.co/qjzAEUWF2w",Sun Jan 02 17:11:52 +0000 2022,2335,8962
2022-01-02,6,joèl b,MARKETS A LOOK AHEAD: My TOP 5 MARKET TRENDS For 2022. Greg Mannarino (buy physical #Silver!!) https://t.co/NjrvLjtAGG,Sun Jan 02 23:49:11 +0000 2022,1,1
2022-01-02,7,Technocrat 🥷 ,#Tesla PT $1050 will be considered as a good entry point for the year 2022! New product road-map and imminent stock split! It’s up to you to decide whether you want the gains or not!  $TSLA https://t.co/6yEGQwoUr0,Sun Jan 02 23:58:03 +0000 2022,0,2
2022-01-02,8,STOCK MARKET TRENDS & REVERSALS,early sunday futures trading https://t.co/RWJXBTi1eQ,Sun Jan 02 23:49:49 +0000 2022,0,0
2022-01-02,9,The Scanner Man,"$FHS iron ore stock basing, volume last 2 weeks with good absorption https://t.co/nmTFeKf2ok",Sun Jan 02 23:54:34 +0000 2022,0,7
2022-01-02,10,Bramesh Bhandari,"#nifty #neural for 2022

Imp #ASTRO  and #gann dates for #nifty50 

04-Jan-22
23-Jan-22
30-Jan-22
15-Feb-22
02-Mar-22
28-Mar-22
14-Apr-22
06-May-22
21-May-22
10-Jun-22
21-Jun-22
02-Jul-22
18-Jul-22
12-Aug-22
19-Aug-22
16-Sep-22
26-Sep-22
22-Oct-22
08-Nov-22
19-Nov-22
23-Dec-22 https://t.co/5WC5JD2oYc",Sun Jan 02 14:11:58 +0000 2022,84,279
