Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-02,1,Bramesh Bhandari,"#nifty #neural for 2022

Imp #ASTRO  and #gann dates for #nifty50 

04-Jan-22
23-Jan-22
30-Jan-22
15-Feb-22
02-Mar-22
28-Mar-22
14-Apr-22
06-May-22
21-May-22
10-Jun-22
21-Jun-22
02-Jul-22
18-Jul-22
12-Aug-22
19-Aug-22
16-Sep-22
26-Sep-22
22-Oct-22
08-Nov-22
19-Nov-22
23-Dec-22 https://t.co/5WC5JD2oYc",Sun Jan 02 14:11:58 +0000 2022,84,279
2022-01-02,2,🇮🇳 Rinku Tank,"#PONNIERODE

support zone:198/183
My expectations:267/381
view invalid level: mentioned on chart

Being a micro-cap stock, your investment will involve high risk. Build your positions wisely.

Don't build excessive positions out of greed. Follow proper position sizing rules. https://t.co/I9Lehmm121",Sun Jan 02 04:30:47 +0000 2022,37,254
2022-01-02,3,Rajesh Sawhney 🇮🇳,"Indian Tech startups raised a record $38B in 2021

1) Bangalore gobbled up almost half of this funding, 49%; almost 50% more than No 2 NCR. 

2) Bang-Del-Mumbai hogged 93% of the funding. 

3) Good to see Pune-Chennai-Hyderabad-Jaipur on funding map with a combined 7% share. https://t.co/Y2yqaoMQXp",Sun Jan 02 04:59:49 +0000 2022,59,318
2022-01-02,4,ibrahimakkaya,"Endeks  son  durum.//

Tillson 1900 üzeri kapanışlarda yukarı yönlü trend hızlanır ve 2196 ya kadar uzanır.!!

Haftalık 1832 destek seviyesi ve kırılmadı .!!

1832 seviyeleri 2500 den gelen trendin dip seviyesi.Bu seviye  kırılmadan sıkıntı yok.!!

#borsa #usdtry https://t.co/PXPRdfcwoK",Sun Jan 02 18:38:22 +0000 2022,33,339
2022-01-02,5,Noor Hisham Abdullah,Kadar kebolehjangkitan Covid-19 atau Ro/Rt pada jangkaan mengikut kes seharian pada 1 hb Jan 2022 untuk seluruh negara adalah  0.99. Manakala pecahan mengikut negeri adalah seperti di lampiran https://t.co/zKXyUCBtKg,Sun Jan 02 02:56:21 +0000 2022,131,208
2022-01-02,6,Ripster🪙📈📉,"$NIO 
#chartidea 
Retail loves this one, Ran decent last Jan as well!
Now good numbers out and some relaxation on China Policy Fears!
33 Huge Pivot to reclaim for upside but bigger breakout over Weekly Trendline
#LT holders can use wider risk https://t.co/UZN9HawSDN",Sun Jan 02 22:41:49 +0000 2022,31,217
2022-01-02,7,みみる@米国株投資🇺🇸CFP®︎認定者,"こんみみるん🌸
明日から米国株はスタートですよ🎵

高値ブレイク失敗のNASDAQ100
16600が分厚い壁となってしまうのか
15700と狭いレンジを作るか

上昇トレンドのなかの小休止で再度上を目指すか
新年相場に注目したいですね✨

#米国株 #レバナス https://t.co/7ehu91RQJa",Sun Jan 02 09:00:01 +0000 2022,6,211
2022-01-02,8,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,9,Ahmad Alsabban | أحمد الصبان,"📍3 نقاط
▪️لست مستشارا ماليا
▪️ليست توصية شراء بالسعر الحالي
▪️لا تشتر بشركة لا تعرف نشاطها ولا قوائمها

📍3 شركات ممتازة/تدفقاتها النقدية مستقرة:
▪️فيس بوك/ميتا $FB
▪️انتل $INTC
▪️ميرك $MRK

📍3 شركات عالية الخطورة/مرحلة نمو:
▪️ميتربورت $MTTR
▪️بلانتير $PLTR
▪️توببر وير  $TUP https://t.co/4Enr5Lqeof",Sun Jan 02 13:49:38 +0000 2022,9,232
2022-01-02,10,Çetin Özyurt,"Borsadaki 448 firmayı,  Pazartesiden itibaren geçerli olan Endeks ve Pazarları ile

-Piyasa Değeri  (2.180 milyar TL)
-Halka Açıklık Oranı (%28)
-Halka Açık Piyasa Değeri  (611 milyar TL / 46 milyar USD)

bilgilerini ÇÖZ sektörlerine göre paylaşıyorum. https://t.co/NPajlUuW0Y",Sun Jan 02 14:20:47 +0000 2022,42,318
