Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-04,1,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,2,Ekonomikoçu,"#SP500 GÜNLÜK 

Buraya söylenecek çok fazla söz kalmadı.. Grafik nettir. 
Kesik çizginin üzerinde oluşan mumlar yan yanadır.. 
Bugün #Nasdaq düşüyor, #DOW yukarı alıyorlar, burası da stabil.. Devamlı gün geçiriyorlar.. Yaşasın BİDEN hükümeti.. Ah ulan Trump bizi bunlara bıraktın. https://t.co/9EnfCg1AN5",Tue Jan 04 20:15:31 +0000 2022,12,400
2022-01-04,3,レイチェル,おはようございます。主要3指数はまちまちの展開。ダウは2日連続での最高値更新。一方ナスダックは長期金利上昇を受け下落する展開。S&amp;P500もわずかに反落。 https://t.co/OHO8aqrwCM,Tue Jan 04 21:45:57 +0000 2022,40,486
2022-01-04,4,Zeynep Aktaş,"BIST 100 Endeksi 
Borsada yükselen hisse sayısı 92
Düşen hisse sayısı 7
Borsada toplam hacim 27,6 milyar TL
BIST 100 İşlem hacmi 21,9 milyar TL
#XU100 #endeks #borsa #yükseliş #hacim https://t.co/Am3sF3fJGd",Tue Jan 04 04:16:12 +0000 2022,16,377
2022-01-04,5,cheshm_abi,"امروز سه شنبه ۱۴ دی ماه ریزش ۱۳ هزار واحدی شاخص #بورس

🔻خاندوزی وزیر اقتصاد: علیرغم فشار و سختی‌های پیش رو با آغاز برنامه‌های مدون، «هر ماه اخبار خوبی از اقدامات و گشایشات به ملت شریف داده خواهد شد» https://t.co/rquyCUqThY",Tue Jan 04 09:29:02 +0000 2022,20,238
2022-01-04,6,mignolet,"(심리의 시각화)
시장의 하락을 주도했던 바이낸스 매도 압박이 줄어들고 있는건, 명백한 사실입니다.

이러한 상황에서,

처음에는 괜찮지만, 시간이 가면 갈수록, 결과가 나타나지 않고, 투자자는 의심을 하게되고, 부정적인 생각이 드는게 당연합니다.

@tradinglite https://t.co/c68HdXPckv",Tue Jan 04 11:18:50 +0000 2022,28,239
2022-01-04,7,Daniele,$MIM is on less exchanges but has more volume than $DAI . Utility is the ultimate play and we will keep focusing on it. https://t.co/GNjVwXwKNG,Tue Jan 04 04:43:06 +0000 2022,94,1375
2022-01-04,8,もみあげ🇺🇸 米国株投資,"米国株最終
ダウ+0.59% ナス-1.33% SP-0.06% ラッセル-0.16% もみ+0.6%
・原油+1.1%（40万/日増産キープ）
・金利2年-3bps 10年+2.4bps
・SM58.7（12月61.1)
→インフレ懸念テック売り
⇔金融・エネ・資本・素材など強めに
$F +11.6%
・グロース→バリューリバランス（出来高参照）
・明日はFOMC議事録 https://t.co/NQijFPFP0s",Tue Jan 04 21:10:35 +0000 2022,33,280
2022-01-04,9,Devrim Akyıl Laplace’s Demon,"Kırmızı bu sayfada favori rengim! 
Nasdaq vadeliler kritik 16,150 aşağısını zorluyor! Son saat önemli… Shortum ve kapanışa göre devamına karar vereceğim https://t.co/pNu0c0RHWE",Tue Jan 04 18:59:46 +0000 2022,11,408
2022-01-04,10,Trading Warz,"FREE #OPTIONS Ideas

Scale out when above 25% Profit

$FB 342.50C&gt;340.69 | 335P&lt;337.58 
$ATVI  68C&gt;67.48 | 65P&lt;65.99
$WMT  145C&gt;144.62 | 143P&lt;143.19
$NKE 170C&gt;167.45 | 162.50P&lt;163.77

199 ❤️ for Bonus Picks

Detailed Guide + FREE Indicators below https://t.co/6UiZfqjpEv",Tue Jan 04 00:19:13 +0000 2022,17,280
2022-01-02,1,Bramesh Bhandari,"#nifty #neural for 2022

Imp #ASTRO  and #gann dates for #nifty50 

04-Jan-22
23-Jan-22
30-Jan-22
15-Feb-22
02-Mar-22
28-Mar-22
14-Apr-22
06-May-22
21-May-22
10-Jun-22
21-Jun-22
02-Jul-22
18-Jul-22
12-Aug-22
19-Aug-22
16-Sep-22
26-Sep-22
22-Oct-22
08-Nov-22
19-Nov-22
23-Dec-22 https://t.co/5WC5JD2oYc",Sun Jan 02 14:11:58 +0000 2022,84,279
2022-01-02,2,🇮🇳 Rinku Tank,"#PONNIERODE

support zone:198/183
My expectations:267/381
view invalid level: mentioned on chart

Being a micro-cap stock, your investment will involve high risk. Build your positions wisely.

Don't build excessive positions out of greed. Follow proper position sizing rules. https://t.co/I9Lehmm121",Sun Jan 02 04:30:47 +0000 2022,37,254
2022-01-02,3,PWS,"$NIO - Deliveries 

2020 - 43,728
2021 - 91,429

Growth - 109% https://t.co/ZBB3VUgEIW",Sun Jan 02 12:49:25 +0000 2022,20,221
2022-01-02,4,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,5,Vipul Kankaria,"BGR Energy Systems:

Given a volume weighted BO from a resistance zone around 78-80, after 3 years

Volumes were decent during accumulation phase

CMP: 86
SL: 54
TARGETS: 124 / 184

Add in parts &amp; dips, limited quantity https://t.co/K0Xka26vj4",Sun Jan 02 16:49:45 +0000 2022,30,249
2022-01-02,6,Eylem Cülcüloğlu,Zig'de dirençler: 0.14 ve 0.19'da. 0.19 kırılırsa yukarısı 28 cente kadar bomboş.  @zignaly @ARafayGadit $zig #zignaly https://t.co/IIU19kAGxl,Sun Jan 02 00:04:06 +0000 2022,44,344
2022-01-02,7,Otavio (Tavi) Costa,"Oil and gas E&amp;P stocks just had their best performance in 30 years.
 
A major market rotation is already in the making:

▪️ Out of software trading at ~30x sales

▪️ Into commodity producers at insanely cheap ~10x free-cash-flow multiples
 
Much more to unfold in the next years. https://t.co/0huaWqsA4F",Sun Jan 02 18:27:15 +0000 2022,67,318
2022-01-02,8,ibrahimakkaya,"Endeks  son  durum.//

Tillson 1900 üzeri kapanışlarda yukarı yönlü trend hızlanır ve 2196 ya kadar uzanır.!!

Haftalık 1832 destek seviyesi ve kırılmadı .!!

1832 seviyeleri 2500 den gelen trendin dip seviyesi.Bu seviye  kırılmadan sıkıntı yok.!!

#borsa #usdtry https://t.co/PXPRdfcwoK",Sun Jan 02 18:38:22 +0000 2022,33,339
2022-01-02,9,Çetin Özyurt,"Borsadaki 448 firmayı,  Pazartesiden itibaren geçerli olan Endeks ve Pazarları ile

-Piyasa Değeri  (2.180 milyar TL)
-Halka Açıklık Oranı (%28)
-Halka Açık Piyasa Değeri  (611 milyar TL / 46 milyar USD)

bilgilerini ÇÖZ sektörlerine göre paylaşıyorum. https://t.co/NPajlUuW0Y",Sun Jan 02 14:20:47 +0000 2022,42,318
2022-01-02,10,チワワのエル🇯🇵,"#fx　

【相関】

①ドル円↓とポンド円↑が真逆に動いてるなら→ポンドドルのロング

DXYは下落↓のドル売り

②GOLDのボトムからユーロドルのロング、同時にドル円ショート

③Dowの天井から円通貨のショート
Dowのボトムから円通貨のロング

＊ドルはGOLDとDXY、金利で動く
＊円はDow、日経で動く",Sun Jan 02 02:47:39 +0000 2022,29,289
2022-01-03,1,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,2,CA Vipul Makwana,"Thread on Natural Capsules Ltd 🧵

#Basics
1. CMP 335.65 (as on 03-01-2022)
    Listed only on BSE (Code :- 524654)
    Micro Cap Company (Mkt Cap 314 crores)
(1/14) https://t.co/oGzU4TgxzR",Mon Jan 03 13:27:49 +0000 2022,76,377
