Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-01,1,آنگن ٹیڑھا‎,"FBR has collected Rs 287b more than the target in H1FY22, whereas net revenue of Rs 2,920b was collected in this period.

Thats an increase of Rs 1,198b compared to H1FY18 and Rs 715b compared to H1FY21.

Refunds have increased by 33% to 148b as against 111b same period last year https://t.co/Q0gG6qLNzq",Sat Jan 01 03:44:16 +0000 2022,87,218
2022-01-01,2,ランチ会長,"＜2022年はEV関連が最強テーマYEARかも＞
大納会の流れ継続なら大幅続伸も
▽12/30
4080田中化研 ＋14.84%
5759日本電解 ＋8.93%
6292カワタ ＋8.69%
6912菊水電 ＋7.14%
6149小田原エン ＋6.62%
4100戸田工 ＋6.52%
6969松尾電 ＋6.33%
6769ザイン ＋6.20%
6618大泉製 ＋4.92%
7254ユニバンス ＋3.42% https://t.co/pczoQYXFVt",Sat Jan 01 23:27:58 +0000 2022,53,269
2022-01-01,3,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp6 

Ep 6 — 1.912% 

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/KHsvDmb5Xf",Sat Jan 01 23:43:07 +0000 2022,287,1516
2022-01-01,4,علي النسي,"#اليمن #شبوة

خريطة توضح المناطق التي حررتها قوات العمالقة الجنوبيه في جبهات عسيلان بمحافظة شبوة خلال12ساعة معارك ليوم السبت الموافق 01/يناير/2022م

#علي_النسي https://t.co/zkv9DyX2Zb",Sat Jan 01 15:44:28 +0000 2022,21,283
2022-01-01,5,Bruce Ikemizu,あけましておめでとうございます。2021年の上場商品の年間騰落率です。トップ5はオーツ麦89.74%、コーヒー76.02%。菜種油65.21%、木材59.03%、ガソリン52.26%。ワースト5はパラジウム-22.45%、VIX-17%、シルバー11.5%、プラチナ10.57%、日本円-10.31%となりました。 https://t.co/G1MDmlYZ9W,Sat Jan 01 01:14:51 +0000 2022,67,235
2022-01-01,6,Stock Market Scientist™,"Themes To Focus in 2022

1. Infrastructure 
2. Capital Goods
3. Media
4. Auto Ancillary
5. Textile
6. Ethanol 
8. Gems &amp; Jewellery 
9. IT(Stock Specific)
10. Reality(Stock Specific)

Note- Plz consult with your financial advisor before investing/trading 🙏 https://t.co/IaDq2F3x6K",Sat Jan 01 16:14:54 +0000 2022,40,231
2022-01-01,7,88 Brothas,“In Stock” Go Stream Now https://t.co/qr8gQ5YQZv,Sat Jan 01 23:49:28 +0000 2022,5,6
2022-01-01,8,Priti Tiwari,"#RisaIntl
↪️ Penny Stock - Debt free &amp; Low promoter Holding
↪️ Buy at CMP - 0.58
↪️ Target - 1.1-2.4-3.5+ (Short term)
↪️ SL - 0.30 DCB
↪️ Super risky investment as this company has a poor fundamentals.
↪️ Invest small here 
↪️ P.S - Not invested https://t.co/S5nXip9m9h",Sat Jan 01 17:21:14 +0000 2022,60,486
2022-01-01,9,のっち🦀カニ漁船 ( - 2025年1月),"みなさま、あけおめです。

インデックスにフルインベストするだけののっちの昨年のリターンは1億7000万円でした ❤️

これで資産額は6.3億円、含み益は4.1億円になりました。

財産債務調書のために、毎年、この時期の資産額・取得費を定点観測しているので、直近のチャートを貼っておきますね。 https://t.co/ZG0WJv2OhX",Sat Jan 01 14:11:59 +0000 2022,19,498
2022-01-01,10,عبدالله مشاط,"نصيحة بافيت تكافئ اصحابها:
سبق ونصح وارن بافيت بشراء صندوق ETF سوق S&amp;P500 وعدم اختيار الشركات فرديا

سجل سوق S&amp;P500 عائد ~27% خلال عام 2021

بحسب قائمة من بلومبيرغ تتكون من 38 صندوق تحوط—فقط 3 صناديق تفوقت على متوسط اداء S&amp;P500

كيف اشتري سوق S&amp;P500؟
صندوق ETF مثل $SPY $VOO $SPUS https://t.co/G8IcruxBpQ",Sat Jan 01 16:27:01 +0000 2022,55,602
2022-01-02,1,ScorpioManoj,"#FreeTools
My @ChartinkConnect dashboards 
1) Market Breadth 
https://t.co/OUuljsofwD
2) Market Breadth and Intraday pivot based stocks trend
https://t.co/8pUxByterR
3) Intraday camarilla breakouts
https://t.co/WVUV4dSDlB
4) Stocks Relative performance
https://t.co/U6g6gLdREA",Sun Jan 02 08:09:20 +0000 2022,92,274
2022-01-02,2,Aditya Todmal,"Technical Analysis and 3 Strategies to deploy for Aggressive, Moderate, and Conservative Traders.

🧵Weekly Bank Nifty Analysis for 6th Jan Expiry: https://t.co/WsZHd6GX3Z",Sun Jan 02 04:30:03 +0000 2022,223,673
2022-01-02,3,JISOO CHARTS,"According to Nielsen Korea, JTBC drama #SNOWDROP recorded an average rating (nationwide). #SnowdropEp7 

Ep 7 — 3.252% 

#JISOO #영로 #설강화 #지수 #블랙핑크지수 https://t.co/kBNkhOe1aF",Sun Jan 02 22:09:43 +0000 2022,1652,5616
2022-01-02,4,引きこもり投資家/投資収益５０００万到達！,"◎逆張りアラートの要素

①30分足で30pips以上の値幅の大陽陰線
②1時間足で40pips以上の値幅の大陽陰線
③4時間足で80pips以上の値幅の大陽陰線
④30分足で200EMA乖離が80pips以上
⑤1時間足で200EMA乖離が80pips以上
⑥4時間足で200EMA乖離が100pips以上
⑦①～⑥のいずれかを満たした上での包み足 https://t.co/3bLnkJs5Yi",Sun Jan 02 01:00:01 +0000 2022,25,190
2022-01-02,5,Otavio (Tavi) Costa,"Oil and gas E&amp;P stocks just had their best performance in 30 years.
 
A major market rotation is already in the making:

▪️ Out of software trading at ~30x sales

▪️ Into commodity producers at insanely cheap ~10x free-cash-flow multiples
 
Much more to unfold in the next years. https://t.co/0huaWqsA4F",Sun Jan 02 18:27:15 +0000 2022,67,320
2022-01-02,6,Vipul Kankaria,"BGR Energy Systems:

Given a volume weighted BO from a resistance zone around 78-80, after 3 years

Volumes were decent during accumulation phase

CMP: 86
SL: 54
TARGETS: 124 / 184

Add in parts &amp; dips, limited quantity https://t.co/K0Xka26vj4",Sun Jan 02 16:49:45 +0000 2022,30,249
2022-01-02,7,ibrahimakkaya,"Endeks  son  durum.//

Tillson 1900 üzeri kapanışlarda yukarı yönlü trend hızlanır ve 2196 ya kadar uzanır.!!

Haftalık 1832 destek seviyesi ve kırılmadı .!!

1832 seviyeleri 2500 den gelen trendin dip seviyesi.Bu seviye  kırılmadan sıkıntı yok.!!

#borsa #usdtry https://t.co/PXPRdfcwoK",Sun Jan 02 18:38:22 +0000 2022,33,339
2022-01-02,8,Ahmad Alsabban | أحمد الصبان,"📍3 نقاط
▪️لست مستشارا ماليا
▪️ليست توصية شراء بالسعر الحالي
▪️لا تشتر بشركة لا تعرف نشاطها ولا قوائمها

📍3 شركات ممتازة/تدفقاتها النقدية مستقرة:
▪️فيس بوك/ميتا $FB
▪️انتل $INTC
▪️ميرك $MRK

📍3 شركات عالية الخطورة/مرحلة نمو:
▪️ميتربورت $MTTR
▪️بلانتير $PLTR
▪️توببر وير  $TUP https://t.co/4Enr5Lqeof",Sun Jan 02 13:49:38 +0000 2022,9,232
2022-01-02,9,Awalil Rizky,"Posisi Utang Sektor publik (Pemerintah, BI, BUMN) per Des 2020: Rp12.237 T (79,15% dari PDB). Per Sept 2021: Rp12.826,43 T (76,12% dari PDB). Posisi USP cenderung meningkat karena kenaikan utang Pemerintah dan utang BUMN. Data SUSPI Bank Indonesia belum mencakup seluruh BUMN. https://t.co/aps6koxcUv",Sun Jan 02 23:59:51 +0000 2022,137,245
2022-01-02,10,平　均,"これ見ると、黙って「NASDAQ100」にインデックス投資しておけばいいんじゃね？という気がしてきた。

（こういう比較グラフは、起点の妥当性がいつも問題になるんだけど…） https://t.co/1Fx9kVMQNy",Sun Jan 02 14:17:47 +0000 2022,32,465
2022-01-03,1,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,2,Shreenidhi P,"Krishna institute of medical sciences
#KIMS

Goldman Sachs makes an entry
Goldman Sachs bought 73,009 shares of KIMS today at 1425.65rs/share

Sept 21 SHP has all reputed funds(both FIIs n DIIs holding good stake)

General Atlantic holds 17.24% stake as of September 21 https://t.co/pnuFLh3x1i",Mon Jan 03 14:58:56 +0000 2022,33,361
2022-01-03,3,EliteOptionsTrader,"Elite Options #Watchlist 💡

📈 $AAPL 1/14 180C over 177 | 🎯: 180 | SL: 175.80
📈 $AFRM 1/14 110C over 106 | 🎯: 114 | SL: 103

Swing Trade Ideas
📈 $SE 2/4 245C over 221 | 🎯: 248 | SL: 214
📈 $BIDU 3/18 165C over 146 | 🎯: 165 | SL: 141 https://t.co/VApWzXVP28",Mon Jan 03 02:44:59 +0000 2022,31,283
2022-01-03,4,JE$US,"Top 25 stocks driving S&amp;P 500 index in 2021, via GS👇🏻 https://t.co/fQBpgPfSH1",Mon Jan 03 02:15:35 +0000 2022,88,337
2022-01-03,5,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,6,Market Makers,"#Twitterfonden återuppstår!

Av 331 röster, 178 unika bolag så fick nedanstående 10 bolag flest antal röster och tog därmed plats i portföljen. 

📈 Stark start på året för Twitterfondens bolag som gemensamt är upp 1.2%. Starkast gick $ZIGN och $YIELD som både är upp 4.02% idag. https://t.co/vrazuFtclg",Mon Jan 03 17:11:08 +0000 2022,7,268
2022-01-03,7,Emekli Borsacı,"#bist100 çift kulplu fincan formasyonu :)

Formasyon 1906 üstünde kaldığı sürece çalışması beklenir altında kapanışlarda bozulur(tuzak kabul edilir)

Kulp ve fincan hedefleri sırasıyla 2033- 2177 seviyeleridir.

1906 üzerinde kaldığı sürece kısa vade problem yok.

#borsa #bist https://t.co/aSEhp3fLeW",Mon Jan 03 10:11:54 +0000 2022,8,259
2022-01-03,8,Stock Market News,Show your Strategy  WallStreetBets Wall Street Bets #StockMarket Men's Short Sleeve T-Shirt https://t.co/glDy0IqTVt - Buy on eBay #Stocks #Ad https://t.co/PLMw7rLCnR,Mon Jan 03 23:57:05 +0000 2022,1,0
2022-01-03,9,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,10,Silvinho ❤️‍🩹,"O #SBTNotícias estreia dia 10/01, às 12h, sob o comando de Darlisson Dutra. Confira a logo do jornal: https://t.co/e3RquPOl8K",Mon Jan 03 01:46:55 +0000 2022,14,176
2022-01-04,1,Estratégia Gráfica Fundament. | cotacaosegueolucro,#BBAS3 O LL anualizado de 2021 evoluiu 44% em relação a 2020. Nos últimos 12 meses a cotação retrocedeu 21%. https://t.co/XlaOgu0HK7,Tue Jan 04 23:10:17 +0000 2022,14,219
2022-01-04,2,Breakout Charts ®️,"Stocks to Watch out

1. Hind Copper
2. FluoroChem
3. Praj 
4. Zuari Global

No need to mention Sugar Stocks, Already ran up today

Tell me yoursssss!!!!!! https://t.co/IjQcdsbQRu",Tue Jan 04 14:27:06 +0000 2022,40,424
2022-01-04,3,Nation Breaking News,COURT ORDERS NSSF board to stop operations until Labour CS gazettes Rose Omamo as one of Cotu nominees to the board. https://t.co/4dx6VDs4G6,Tue Jan 04 09:55:13 +0000 2022,44,195
2022-01-04,4,三好 翔 🐧 One Capital,"21年のSaaS企業 パフォーマンス（年初来）

プラスで終えたのは以下の5社のみで、大半の企業がマイナスとなりました🤣

1.Sansan：43.8％
2.Wantedly：41.8％
3.マネフォ：37％
4.ラクス：30.5％
5.手間いらず：0.6％

22年はどうなることやら・・・ https://t.co/wCFH0AL4jq",Tue Jan 04 06:28:17 +0000 2022,30,198
2022-01-04,5,หุ้นเบรคเอาท์ - Break out,SCB นี่วิเคราะห์ภาพ Macro ดีตลอดเลย สไลด์นี้คือเอาไปต่อยอดหาหุ้นได้เยอะมาก https://t.co/x6XPLxRRhu,Tue Jan 04 06:43:45 +0000 2022,582,664
2022-01-04,6,レイチェル,おはようございます。主要3指数はまちまちの展開。ダウは2日連続での最高値更新。一方ナスダックは長期金利上昇を受け下落する展開。S&amp;P500もわずかに反落。 https://t.co/OHO8aqrwCM,Tue Jan 04 21:45:57 +0000 2022,40,486
2022-01-04,7,ONUS,"Top 5 trending assets on #ONUS

1/ $BCOIN : 142,670 views

2/ $ITAM: 67,099 views

3/ $BUNI: 42.719 views

4/ $ONUS: 39,274 views

5/ $BTC: 38,361 views

@BombCryptoGame has attracted more than 142 thousand views and has now increased 16.02% in value over the past 24 hours https://t.co/UP7MGqks4t",Tue Jan 04 11:26:29 +0000 2022,55,326
2022-01-04,8,SBP,"Interbank closing #ExchangeRate for today: 
https://t.co/4Mj68aVpZ7 https://t.co/JLuJb8XK4l",Tue Jan 04 10:47:59 +0000 2022,29,196
2022-01-04,9,mignolet,"옵션 Implied Volatility을 보면, 곧 큰 변동성이 나타날 가능성이 높다고 볼 수 있습니다.(1번사진)
1hour 데이터 기준으로 나타나는 플래시 움직임은, 항상 가격의 방향성에 도움이 됩니다. (2번사진)

상대적으로 과열 구간에서 나타나는 플래시는, 하락 시그널 https://t.co/NGDgloUTlL",Tue Jan 04 01:01:24 +0000 2022,23,200
2022-01-04,10,平　均,"GPIF(年金)の運用

✅上がったら売り、下がったら買ってウエイト調整（→典型的な逆張りスタンス）

✅「四半期末月の月中平均株価」から相場水準が大きく乖離すると、売買が行われる傾向（信託銀行の売買動向に反映）

✅乖離率が大きいほど売買金額が大きくなる傾向 https://t.co/7pkpNCi5ID",Tue Jan 04 16:04:14 +0000 2022,43,259
2022-01-05,1,TheGrimm,"This is me today 😂 just watching the market pull hard  😂😂😂 $SPY, $TSLA, and $BABA https://t.co/JlpYup2Dym",Wed Jan 05 23:55:28 +0000 2022,1,3
2022-01-05,2,Lily Ray 😏,"Here's how the SERP has changed for the KW ""school girl"" in the past 4 years:

In 2018, most of the results were costume stores selling ""sexy schoolgirl"" outfits.

In 2022, none of the results are for sexy costumes, but rather, stock photography (very PC), shopping for girls, etc https://t.co/dxcgx5j18e",Wed Jan 05 23:55:15 +0000 2022,5,33
2022-01-05,3,SBIネオトレード証券,"／
祝！社名変更1周年
SBIネオトレード証券！

オリコンランキング✨
ネット証券 取引手数料部門
8年連続1⃣位👑🎉
＼

さらにAmazonなどで使えるgiftee Box 500円分を抽選で【1,111名様】に🎁
〆1/16 23:59まで!

応募方法
①この投稿をRT🔄
②下記URLから抽選に参加
https://t.co/T3ug9kykvv https://t.co/YByQ7r3j7I",Wed Jan 05 09:00:00 +0000 2022,23979,2148
2022-01-05,4,みらいよたろう@東北投信🇨🇦🌴🇹🇭🍤,"つみたてNISAで買ってる投資信託に、1年間でいくら信託報酬（手数料）を支払っているか、調べる方法を紹介します

・SBI証券：昨日あたりに電子ファイルが来てるはず
・楽天証券：ウェブ上でいつでも

他社の方法は知らないですけど、「評価額 × 信託報酬 = 年間の概算コスト」とざっくり計算できます https://t.co/VVbzkP2LtD",Wed Jan 05 09:43:27 +0000 2022,102,885
2022-01-05,5,SBP,"Interbank closing #ExchangeRate for today: 
https://t.co/ErCHD1r7D5 https://t.co/g0CwrzV9Xk",Wed Jan 05 10:06:45 +0000 2022,29,229
2022-01-05,6,Vostok Lake 🎹⚢ 🥁,"""A million strong in the market square throng
 And the government is going to fall"" https://t.co/keKDv4tqQC",Wed Jan 05 23:59:45 +0000 2022,2,3
2022-01-05,7,Human Capital Stock 𓅔🔻,THIS 👇,Wed Jan 05 23:59:48 +0000 2022,0,3
2022-01-05,8,レイチェル,おはようございます。主要3指数は揃って下落。ダウは上昇して始まったものの、FOMC議事要旨がタカ派的(金融引き締めに積極的)な内容だったこと受け下落に転じる。ナスダックは3%を超える大幅下落。今日も顔晴っていきましょう。 https://t.co/ee3Xr2SqGi,Wed Jan 05 21:41:28 +0000 2022,54,657
2022-01-05,9,まゆ,日経平均、小幅上昇。バリュー株が買われる一方で、グロース株やマザーズは大幅安の銘柄も多く、所有する銘柄によって異なる結果に。保有の島津も半導体関連で売られたが、オリックスは大幅高でYH。監視はソニーがEV参入で↑。FOMC議事要旨が今晩に控えています。写真は兜町、日枝神社のかぶ守。可愛い https://t.co/hBgZYyxYOQ,Wed Jan 05 09:21:34 +0000 2022,3,227
2022-01-05,10,Option Square,"📊Elpro International : 67.1

🌟Promoter Holdings : 74.99%
🌟FII Holdings : 14.13%
🌟Promoter added stake previous Qtr
🌟MV of Investment in PNB Metlife worth 1424.69CR
🌟Current market cap :1137cr
🌟Small Retailer holding  5.5%

💹Stake sell in PNB Metlife can be value Unlocking https://t.co/NUzWuor6vo",Wed Jan 05 16:19:41 +0000 2022,75,267
2022-01-06,1,İris Cibre 🐦,"Bist'in 2009 dan beri sene sonu piyasa değeri;

Dolar bazında en yüksek değerini 2013 Mayıs'da 340.5 Milyar USD olarak gördü. Bugün itibariyle Bist piyasa değeri 172,7 Milyar USD.

2013 Bist yabancı payı 66%
Bugün Bist yabancı payı 40,38%

Piyasa yabancısız iyi diyenler... https://t.co/59PTTIrOIO",Thu Jan 06 11:28:28 +0000 2022,21,197
2022-01-06,2,Toptrdr (respect the power of the market ),no one listens when trend is going their way they make up stories of happy ending .until SHAZAM https://t.co/rw7LJ1UGlX,Thu Jan 06 23:56:04 +0000 2022,0,2
2022-01-06,3,صناديق المؤشرات الشرعية,"وارن بافيت في عام ٢٠٢٠ يؤكد أفضلية صناديق المؤشرات والاستثمار الساكن وبأنه لم يغير وصيته لزوجته بأن تستثمر ٩٠٪ في صندوق مؤشر S&amp;P 500. 

قائمة صناديق المؤشرات الموافقة للضوابط الشرعية
https://t.co/QMskmnuhsy

#صناديق_المؤشرات

 https://t.co/IgrdMAky8F",Thu Jan 06 07:15:33 +0000 2022,13,188
